,id,symbol,open,close,high,low,average,volume,value,ptVolume,ptValue,change,percentage,object,tradingDate
0,VIC2012-12-28,VIC,18.343,19.057,19.057,18.224,18.791,70570,5567000100.0,0.0,5775000100.0,0.714,3.89,adPrice,2012-12-28
1,VIC2012-12-27,VIC,17.866,18.343,18.343,17.747,18.14,143480,10926000100.0,0.0,9400000500.0,0.477,2.67,adPrice,2012-12-27
2,VIC2012-12-26,VIC,17.628,17.866,17.866,17.509,17.763,129370,9646999600.0,0.0,190017192000.0,0.238,1.35,adPrice,2012-12-26
3,VIC2012-12-25,VIC,17.866,17.628,17.866,17.509,17.661,164070,12163999700.0,0.0,0.0,0.0,0.0,adPrice,2012-12-25
4,VIC2012-12-24,VIC,17.747,17.628,17.866,17.509,17.674,115730,8585999900.0,0.0,0.0,0.119,0.68,adPrice,2012-12-24
5,VIC2012-12-21,VIC,17.747,17.509,17.747,17.032,17.408,220600,16120999900.0,0.0,0.0,0.12,0.69,adPrice,2012-12-21
6,VIC2012-12-20,VIC,17.628,17.389,17.747,17.389,17.514,119360,8775999500.0,270000.0,19440001000.0,-0.477,-2.67,adPrice,2012-12-20
7,VIC2012-12-19,VIC,17.151,17.866,17.866,17.151,17.472,85810,6294000100.0,331940.0,23970680800.0,0.477,2.74,adPrice,2012-12-19
8,VIC2012-12-18,VIC,17.747,17.389,17.747,17.27,17.452,71320,5224999900.0,0.0,0.0,-0.239,-1.36,adPrice,2012-12-18
9,VIC2012-12-17,VIC,17.509,17.628,17.747,17.27,17.523,65620,4826999800.0,219979.0,16058467300.0,-0.476,-2.63,adPrice,2012-12-17
10,VIC2012-12-14,VIC,17.747,18.104,18.104,17.747,17.943,59940,4514999800.0,1419199.0,106439926000.0,0.357,2.01,adPrice,2012-12-14
11,VIC2012-12-13,VIC,18.104,17.747,18.104,17.747,17.833,37040,2772999940.0,50000.0,3775000060.0,0.0,0.0,adPrice,2012-12-13
12,VIC2012-12-12,VIC,17.866,17.747,18.224,17.509,18.012,83930,6345999900.0,0.0,0.0,-0.357,-1.97,adPrice,2012-12-12
13,VIC2012-12-11,VIC,17.509,18.104,18.104,17.509,17.768,140130,10451999700.0,1000000.0,73500000000.0,0.595,3.4,adPrice,2012-12-11
14,VIC2012-12-10,VIC,17.27,17.509,17.628,17.27,17.408,93490,6832000000.0,0.0,0.0,0.715,4.26,adPrice,2012-12-10
