,id,symbol,open,close,high,low,average,volume,value,ptVolume,ptValue,change,percentage,object,tradingDate
0,REE2005-12-30,REE,4.338,4.338,4.338,4.338,3.129,22100,0.0,0.0,0.0,-0.005,-0.12,adPrice,2005-12-30
1,REE2005-12-29,REE,4.343,4.343,4.343,4.343,3.137,17360,0.0,0.0,0.0,0.0,0.0,adPrice,2005-12-29
2,REE2005-12-28,REE,4.307,4.343,4.343,4.307,3.137,19970,0.0,0.0,0.0,0.024,0.56,adPrice,2005-12-28
3,REE2005-12-27,REE,4.319,4.319,4.356,4.319,3.111,23730,0.0,0.0,0.0,0.0,0.0,adPrice,2005-12-27
4,REE2005-12-26,REE,4.319,4.319,4.343,4.319,3.111,29350,0.0,0.0,0.0,0.0,0.0,adPrice,2005-12-26
5,REE2005-12-23,REE,4.307,4.319,4.319,4.307,3.111,16780,0.0,0.0,0.0,0.031,0.72,adPrice,2005-12-23
6,REE2005-12-22,REE,4.3,4.288,4.3,4.288,3.082,45400,0.0,0.0,0.0,-0.037,-0.86,adPrice,2005-12-22
7,REE2005-12-21,REE,4.325,4.325,4.325,4.325,3.118,12600,0.0,0.0,0.0,0.0,0.0,adPrice,2005-12-21
8,REE2005-12-20,REE,4.325,4.325,4.325,4.325,3.118,15770,0.0,0.0,0.0,0.0,0.0,adPrice,2005-12-20
9,REE2005-12-19,REE,4.361,4.325,4.376,4.325,3.118,31570,0.0,0.0,0.0,-0.024,-0.55,adPrice,2005-12-19
10,REE2005-12-16,REE,4.338,4.349,4.349,4.338,3.146,40040,0.0,0.0,0.0,0.006,0.14,adPrice,2005-12-16
11,REE2005-12-15,REE,4.343,4.343,4.343,4.343,3.137,17360,0.0,0.0,0.0,0.0,0.0,adPrice,2005-12-15
12,REE2005-12-14,REE,4.319,4.343,4.343,4.307,3.137,13420,0.0,0.0,0.0,0.018,0.42,adPrice,2005-12-14
13,REE2005-12-13,REE,4.349,4.325,4.349,4.325,3.118,43910,0.0,0.0,0.0,-0.018,-0.41,adPrice,2005-12-13
14,REE2005-12-12,REE,4.368,4.343,4.368,4.343,3.137,22050,0.0,0.0,0.0,0.0,0.0,adPrice,2005-12-12
15,REE2005-12-09,REE,4.361,4.361,4.361,4.361,3.157,76730,0.0,0.0,0.0,0.0,0.0,adPrice,2005-12-09
16,REE2005-12-08,REE,4.349,4.361,4.361,4.349,3.157,31520,0.0,0.0,0.0,0.018,0.41,adPrice,2005-12-08
17,REE2005-12-07,REE,4.319,4.343,4.343,4.319,3.137,34100,0.0,0.0,0.0,0.024,0.56,adPrice,2005-12-07
18,REE2005-12-06,REE,4.356,4.319,4.356,4.319,3.111,19590,0.0,0.0,0.0,-0.024,-0.55,adPrice,2005-12-06
19,REE2005-12-05,REE,4.343,4.343,4.343,4.343,3.137,12760,0.0,0.0,0.0,-0.018,-0.41,adPrice,2005-12-05
20,REE2005-12-02,REE,4.338,4.361,4.361,4.338,3.157,14190,0.0,0.0,0.0,0.018,0.41,adPrice,2005-12-02
21,REE2005-12-01,REE,4.356,4.343,4.356,4.343,3.137,41710,0.0,0.0,0.0,-0.006,-0.14,adPrice,2005-12-01
22,REE2005-11-30,REE,4.276,4.349,4.349,4.276,3.146,30630,0.0,0.0,0.0,0.049,1.14,adPrice,2005-11-30
23,REE2005-11-29,REE,4.3,4.3,4.3,4.3,3.091,15320,0.0,0.0,0.0,0.0,0.0,adPrice,2005-11-29
24,REE2005-11-28,REE,4.325,4.3,4.325,4.3,3.091,19830,0.0,0.0,0.0,-0.038,-0.88,adPrice,2005-11-28
25,REE2005-11-25,REE,4.338,4.338,4.361,4.338,3.129,73580,0.0,0.0,0.0,0.093,2.19,adPrice,2005-11-25
26,REE2005-11-24,REE,4.245,4.245,4.245,4.245,3.037,103750,0.0,0.0,0.0,-0.011,-0.26,adPrice,2005-11-24
