,id,symbol,open,close,high,low,average,volume,value,ptVolume,ptValue,change,percentage,object,tradingDate
0,VIC2013-12-31,VIC,22.094,22.094,22.252,21.464,21.934,96990,6739865100.0,0.0,0.0,0.315,1.45,adPrice,2013-12-31
1,VIC2013-12-30,VIC,22.094,21.779,22.094,21.621,21.855,244580,16935300100.0,3200000.0,224000000000.0,-0.315,-1.43,adPrice,2013-12-30
2,VIC2013-12-27,VIC,22.252,22.094,22.252,21.779,22.088,149540,10465410000.0,0.0,0.0,0.0,0.0,adPrice,2013-12-27
3,VIC2013-12-26,VIC,21.779,22.094,22.252,21.621,22.063,465220,32518559700.0,0.0,0.0,0.315,1.45,adPrice,2013-12-26
4,VIC2013-12-25,VIC,21.936,21.779,21.936,21.464,21.756,164890,11365369900.0,0.0,0.0,-0.157,-0.72,adPrice,2013-12-25
5,VIC2013-12-24,VIC,21.779,21.936,22.094,21.621,21.848,130170,9010464800.0,0.0,0.0,-0.158,-0.72,adPrice,2013-12-24
6,VIC2013-12-23,VIC,21.464,22.094,22.094,21.305,21.751,78040,5377560100.0,306700.0,21468999700.0,1.262,6.06,adPrice,2013-12-23
7,VIC2013-12-20,VIC,22.094,20.832,22.094,20.832,20.907,610150,40418714000.0,960000.0,66240000000.0,-1.262,-5.71,adPrice,2013-12-20
8,VIC2013-12-19,VIC,21.936,22.094,22.252,21.779,21.936,210000,14594289700.0,0.0,0.0,-0.316,-1.41,adPrice,2013-12-19
9,VIC2013-12-18,VIC,22.094,22.41,22.41,21.621,22.022,54910,3830830080.0,0.0,0.0,0.316,1.43,adPrice,2013-12-18
10,VIC2013-12-17,VIC,21.464,22.094,22.094,21.305,21.507,158210,10781009900.0,0.0,0.0,0.789,3.7,adPrice,2013-12-17
11,VIC2013-12-16,VIC,22.094,21.305,22.41,21.305,21.501,300030,20438880300.0,540000.0,35910001000.0,-1.105,-4.93,adPrice,2013-12-16
12,VIC2013-12-13,VIC,22.41,22.41,22.726,22.41,22.54,95740,6837089800.0,0.0,0.0,-0.158,-0.7,adPrice,2013-12-13
13,VIC2013-12-12,VIC,22.41,22.568,22.568,22.41,22.448,44460,3162060030.0,0.0,0.0,0.0,0.0,adPrice,2013-12-12
14,VIC2013-12-11,VIC,22.568,22.568,22.568,22.252,22.378,69190,4905645100.0,0.0,0.0,0.0,0.0,adPrice,2013-12-11
15,VIC2013-12-10,VIC,22.41,22.568,22.726,22.252,22.47,311260,22158034900.0,0.0,0.0,0.158,0.71,adPrice,2013-12-10
16,VIC2013-12-09,VIC,22.568,22.41,22.568,22.252,22.417,105100,7464249900.0,0.0,0.0,0.0,0.0,adPrice,2013-12-09
17,VIC2013-12-06,VIC,22.252,22.41,22.41,22.252,22.272,81510,5751700000.0,0.0,0.0,0.0,0.0,adPrice,2013-12-06
18,VIC2013-12-05,VIC,22.41,22.41,22.568,22.094,22.319,238180,16842630100.0,0.0,0.0,0.0,0.0,adPrice,2013-12-05
19,VIC2013-12-04,VIC,22.252,22.41,22.568,22.252,22.388,69710,4944510000.0,180000.0,13500000300.0,0.0,0.0,adPrice,2013-12-04
20,VIC2013-12-03,VIC,22.094,22.41,22.41,22.094,22.274,282280,19919640600.0,1100000.0,75900002000.0,0.316,1.43,adPrice,2013-12-03
21,VIC2013-12-02,VIC,21.621,22.094,22.094,21.621,21.822,176520,12205015000.0,0.0,0.0,0.315,1.45,adPrice,2013-12-02
22,VIC2013-11-29,VIC,21.464,21.779,21.779,21.464,21.624,358020,24527999000.0,0.0,0.0,0.315,1.47,adPrice,2013-11-29
23,VIC2013-11-28,VIC,21.305,21.464,21.464,21.148,21.384,275520,18666084400.0,0.0,0.0,0.316,1.49,adPrice,2013-11-28
24,VIC2013-11-27,VIC,21.621,21.148,21.621,21.148,21.336,522130,35296854000.0,0.0,0.0,-0.473,-2.19,adPrice,2013-11-27
25,VIC2013-11-26,VIC,21.621,21.621,21.621,21.148,21.526,731520,49890140000.0,0.0,0.0,0.0,0.0,adPrice,2013-11-26
26,VIC2013-11-25,VIC,21.464,21.621,21.779,21.464,21.624,229550,15725634600.0,0.0,0.0,0.157,0.73,adPrice,2013-11-25
27,VIC2013-11-22,VIC,21.464,21.464,21.621,21.305,21.469,251730,17122305000.0,23540.0,1601167230.0,0.0,0.0,adPrice,2013-11-22
28,VIC2013-11-21,VIC,21.464,21.464,21.779,21.305,21.545,229600,15673360400.0,0.0,0.0,0.0,0.0,adPrice,2013-11-21
29,VIC2013-11-20,VIC,21.305,21.464,21.464,21.148,21.355,186590,12624985100.0,47100.0,3186880260.0,0.0,0.0,adPrice,2013-11-20
30,VIC2013-11-19,VIC,21.148,21.464,21.464,20.99,21.369,355360,24057180200.0,0.0,0.0,0.316,1.49,adPrice,2013-11-19
31,VIC2013-11-18,VIC,21.148,21.148,21.464,20.99,21.105,470600,31466999800.0,730000.0,49890001000.0,0.158,0.75,adPrice,2013-11-18
32,VIC2013-11-15,VIC,20.99,20.99,21.148,20.832,20.977,482580,32071675900.0,0.0,0.0,0.0,0.0,adPrice,2013-11-15
33,VIC2013-11-14,VIC,20.517,20.99,20.99,20.517,20.8,469050,30909954000.0,0.0,0.0,0.158,0.76,adPrice,2013-11-14
34,VIC2013-11-13,VIC,20.674,20.832,20.99,20.674,20.816,257600,16989434900.0,280000.0,18480001000.0,0.0,0.0,adPrice,2013-11-13
35,VIC2013-11-12,VIC,20.832,20.832,20.99,20.517,20.668,212900,13940495400.0,0.0,0.0,0.0,0.0,adPrice,2013-11-12
36,VIC2013-11-11,VIC,20.99,20.832,20.99,20.517,20.737,74310,4882480100.0,0.0,0.0,0.0,0.0,adPrice,2013-11-11
