,id,symbol,open,close,high,low,average,volume,value,ptVolume,ptValue,change,percentage,object,tradingDate
0,VIC2015-12-31,VIC,27.655,27.776,27.959,27.412,27.6,3361900,153589727000.0,0.0,0.0,-0.183,-0.65,adPrice,2015-12-31
1,VIC2015-12-30,VIC,27.412,27.959,27.959,26.744,27.6,2836200,128792216000.0,400000.0,18164000800.0,0.304,1.1,adPrice,2015-12-30
2,VIC2015-12-29,VIC,26.439,27.655,27.655,26.136,27.071,2905940,129437286000.0,100000.0,4438199800.0,1.216,4.6,adPrice,2015-12-29
3,VIC2015-12-28,VIC,25.77,26.439,26.561,25.77,26.293,1494140,64640565000.0,0.0,0.0,0.669,2.6,adPrice,2015-12-28
4,VIC2015-12-25,VIC,25.71,25.77,25.831,25.527,25.661,564790,23844671500.0,78658.0,3172965120.0,0.243,0.95,adPrice,2015-12-25
5,VIC2015-12-24,VIC,25.467,25.527,25.588,25.345,25.485,672060,28181393400.0,0.0,0.0,0.182,0.72,adPrice,2015-12-24
6,VIC2015-12-23,VIC,25.041,25.345,25.467,25.041,25.297,737670,30699831300.0,60000.0,2364000000.0,0.06,0.24,adPrice,2015-12-23
7,VIC2015-12-22,VIC,25.224,25.285,25.407,25.163,25.273,366380,15233870800.0,25000.0,965000000.0,0.061,0.24,adPrice,2015-12-22
8,VIC2015-12-21,VIC,24.92,25.224,25.224,24.92,25.096,522360,21566150700.0,0.0,0.0,0.912,3.75,adPrice,2015-12-21
9,VIC2015-12-18,VIC,25.467,24.312,25.588,24.312,24.617,2466150,99871916000.0,0.0,0.0,-1.155,-4.54,adPrice,2015-12-18
10,VIC2015-12-17,VIC,25.527,25.467,25.71,25.407,25.461,575650,24115388400.0,60000.0,2628000000.0,0.122,0.48,adPrice,2015-12-17
11,VIC2015-12-16,VIC,25.407,25.345,25.71,25.285,25.516,522330,21928446000.0,0.0,0.0,0.121,0.48,adPrice,2015-12-16
12,VIC2015-12-15,VIC,25.041,25.224,25.345,25.041,25.224,376440,15621376000.0,1000000.0,41999999000.0,0.122,0.49,adPrice,2015-12-15
13,VIC2015-12-14,VIC,25.224,25.102,25.285,24.98,25.102,614150,25363234800.0,155000.0,6248934900.0,-0.122,-0.48,adPrice,2015-12-14
14,VIC2015-12-11,VIC,25.102,25.224,25.285,25.102,25.224,680860,28256239600.0,0.0,0.0,0.122,0.49,adPrice,2015-12-11
15,VIC2015-12-10,VIC,25.407,25.102,25.71,25.102,25.303,622480,25915396100.0,9000000.0,382500012000.0,-0.305,-1.2,adPrice,2015-12-10
16,VIC2015-12-09,VIC,25.77,25.407,26.379,25.407,25.716,1356520,57393693000.0,270000.0,11621999600.0,-0.363,-1.41,adPrice,2015-12-09
17,VIC2015-12-08,VIC,25.588,25.77,25.893,25.407,25.619,778590,32815804400.0,0.0,0.0,0.06,0.23,adPrice,2015-12-08
18,VIC2015-12-07,VIC,25.77,25.71,25.77,25.527,25.661,804560,33965701100.0,170007.0,7198796300.0,0.0,0.0,adPrice,2015-12-07
19,VIC2015-12-04,VIC,25.893,25.71,26.075,25.649,25.764,564530,23931897900.0,60000.0,2400000000.0,-0.304,-1.17,adPrice,2015-12-04
20,VIC2015-12-03,VIC,25.893,26.014,26.075,25.831,25.959,417700,17840896000.0,0.0,0.0,0.121,0.47,adPrice,2015-12-03
21,VIC2015-12-02,VIC,26.136,25.893,26.317,25.893,26.117,723660,31093600300.0,100000.0,4296600100.0,-0.121,-0.47,adPrice,2015-12-02
22,VIC2015-12-01,VIC,26.075,26.014,26.136,25.954,26.038,261670,11211006000.0,312171.0,13386535900.0,0.0,0.0,adPrice,2015-12-01
