,id,symbol,open,close,high,low,average,volume,value,ptVolume,ptValue,change,percentage,object,tradingDate
0,VIC2009-12-31,VIC,9.75,9.399,9.75,9.2,9.398,112700,10531000300.0,0.0,0.0,0.0,0.0,adPrice,2009-12-31
1,VIC2009-12-30,VIC,8.902,9.399,9.45,8.902,9.319,62190,5761999900.0,0.0,0.0,0.151,1.63,adPrice,2009-12-30
2,VIC2009-12-29,VIC,9.399,9.248,9.75,9.248,9.391,42220,3942000130.0,0.0,0.0,-0.451,-4.65,adPrice,2009-12-29
3,VIC2009-12-28,VIC,9.551,9.699,9.999,9.551,9.774,22000,2138000000.0,0.0,0.0,-0.3,-3.0,adPrice,2009-12-28
4,VIC2009-12-25,VIC,10.299,9.999,10.299,9.999,10.265,80110,8176000000.0,0.0,0.0,0.0,0.0,adPrice,2009-12-25
5,VIC2009-12-24,VIC,10.1,9.999,10.1,9.699,10.079,34240,3431000060.0,0.0,0.0,-0.101,-1.0,adPrice,2009-12-24
6,VIC2009-12-23,VIC,9.898,10.1,10.1,9.248,9.997,21280,2115000060.0,0.0,0.0,0.401,4.13,adPrice,2009-12-23
7,VIC2009-12-22,VIC,9.699,9.699,9.699,9.501,9.755,20950,2032000000.0,25000.0,2324999940.0,0.451,4.88,adPrice,2009-12-22
8,VIC2009-12-21,VIC,9.2,9.248,9.248,8.649,9.255,23770,2187000060.0,25000.0,2300000000.0,0.398,4.5,adPrice,2009-12-21
9,VIC2009-12-18,VIC,8.85,8.85,9.099,8.85,8.903,154510,13678000100.0,0.0,0.0,-0.449,-4.83,adPrice,2009-12-18
10,VIC2009-12-17,VIC,9.15,9.299,9.299,9.15,9.299,164980,15253000200.0,50000.0,4649999900.0,-0.299,-3.12,adPrice,2009-12-17
11,VIC2009-12-16,VIC,9.699,9.598,9.699,9.598,9.698,99920,9633999900.0,0.0,0.0,-0.502,-4.97,adPrice,2009-12-16
12,VIC2009-12-15,VIC,10.599,10.1,10.599,10.1,10.269,102670,10481999900.0,0.0,0.0,-0.499,-4.71,adPrice,2009-12-15
13,VIC2009-12-14,VIC,10.599,10.599,10.802,10.4,10.716,72360,7709000200.0,0.0,0.0,0.199,1.91,adPrice,2009-12-14
14,VIC2009-12-11,VIC,9.999,10.4,10.4,9.8,10.293,67400,6896999900.0,0.0,0.0,0.101,0.98,adPrice,2009-12-11
15,VIC2009-12-10,VIC,10.299,10.299,10.299,9.898,10.278,95520,9761000400.0,0.0,0.0,0.0,0.0,adPrice,2009-12-10
16,VIC2009-12-09,VIC,10.299,10.299,10.498,9.999,10.332,33670,3459000060.0,0.0,0.0,-0.199,-1.9,adPrice,2009-12-09
17,VIC2009-12-08,VIC,10.198,10.498,10.498,10.1,10.446,270030,28046000100.0,0.0,0.0,0.0,0.0,adPrice,2009-12-08
18,VIC2009-12-07,VIC,10.599,10.498,10.599,10.198,10.559,196900,20672000000.0,0.0,0.0,-0.101,-0.95,adPrice,2009-12-07
19,VIC2009-12-04,VIC,11.0,10.599,11.0,10.498,10.703,265970,28302999600.0,0.0,0.0,-0.401,-3.65,adPrice,2009-12-04
20,VIC2009-12-03,VIC,10.898,11.0,11.198,10.7,10.945,82200,8945999900.0,0.0,0.0,-0.198,-1.77,adPrice,2009-12-03
21,VIC2009-12-02,VIC,11.3,11.198,11.4,11.101,11.283,44700,5014000100.0,0.0,0.0,-0.3,-2.61,adPrice,2009-12-02
22,VIC2009-12-01,VIC,11.7,11.498,11.7,11.4,11.614,129550,14960000000.0,0.0,0.0,-0.202,-1.73,adPrice,2009-12-01
23,VIC2009-11-30,VIC,11.498,11.7,11.7,11.101,11.679,104680,12154999800.0,0.0,0.0,0.502,4.48,adPrice,2009-11-30
24,VIC2009-11-27,VIC,10.802,11.198,11.498,10.802,11.116,127600,14101999600.0,0.0,0.0,-0.102,-0.9,adPrice,2009-11-27
25,VIC2009-11-26,VIC,10.299,11.3,11.3,10.299,10.787,139450,14956000300.0,0.0,0.0,0.498,4.61,adPrice,2009-11-26
26,VIC2009-11-25,VIC,11.0,10.802,11.0,10.599,10.871,73500,7944000000.0,0.0,0.0,-0.299,-2.69,adPrice,2009-11-25
27,VIC2009-11-24,VIC,11.0,11.101,11.198,10.802,11.09,73070,8056999900.0,0.0,0.0,0.101,0.92,adPrice,2009-11-24
28,VIC2009-11-23,VIC,11.0,11.0,11.0,10.7,11.011,122000,13354999800.0,0.0,0.0,-0.198,-1.77,adPrice,2009-11-23
29,VIC2009-11-20,VIC,10.802,11.198,11.198,10.498,10.999,195130,21337999400.0,0.0,0.0,0.396,3.67,adPrice,2009-11-20
30,VIC2009-11-19,VIC,10.7,10.802,11.0,10.498,10.771,426010,45619999000.0,0.0,0.0,-0.198,-1.8,adPrice,2009-11-19
31,VIC2009-11-18,VIC,11.198,11.0,11.4,10.898,11.143,599030,66368000000.0,0.0,0.0,-0.198,-1.77,adPrice,2009-11-18
32,VIC2009-11-17,VIC,11.198,11.198,11.198,10.802,11.212,444440,49542001000.0,0.0,0.0,0.396,3.67,adPrice,2009-11-17
33,VIC2009-11-16,VIC,10.802,10.802,10.802,10.7,10.862,190440,20566999000.0,0.0,0.0,0.503,4.88,adPrice,2009-11-16
34,VIC2009-11-13,VIC,10.198,10.299,10.299,9.999,10.279,183080,18709999600.0,0.0,0.0,0.101,0.99,adPrice,2009-11-13
35,VIC2009-11-12,VIC,9.999,10.198,10.198,9.999,10.231,161560,16433000400.0,0.0,0.0,0.448,4.59,adPrice,2009-11-12
