,id,symbol,open,close,high,low,average,volume,value,ptVolume,ptValue,change,percentage,object,tradingDate
0,VIC2010-12-31,VIC,17.118,17.386,17.832,17.118,17.417,90740,8862999600.0,0.0,0.0,0.268,1.57,adPrice,2010-12-31
1,VIC2010-12-30,VIC,16.762,17.118,17.564,16.762,17.289,103890,10072999900.0,0.0,0.0,0.453,2.72,adPrice,2010-12-30
2,VIC2010-12-29,VIC,16.398,16.665,16.665,16.22,16.65,136580,12753000400.0,0.0,0.0,0.533,3.3,adPrice,2010-12-29
3,VIC2010-12-28,VIC,15.514,16.132,16.132,15.514,16.038,92730,8339999700.0,0.0,0.0,0.353,2.24,adPrice,2010-12-28
4,VIC2010-12-27,VIC,15.955,15.779,16.043,15.779,15.969,230850,20672999400.0,0.0,0.0,-0.176,-1.1,adPrice,2010-12-27
5,VIC2010-12-24,VIC,15.602,15.955,16.309,15.602,16.1,188980,17063000100.0,0.0,0.0,-0.177,-1.1,adPrice,2010-12-24
6,VIC2010-12-23,VIC,16.665,16.132,16.665,16.132,16.479,224110,20711000100.0,0.0,0.0,-0.356,-2.16,adPrice,2010-12-23
7,VIC2010-12-22,VIC,16.842,16.488,16.842,15.691,16.494,103690,9591000100.0,600000.0,58199998000.0,0.09,0.55,adPrice,2010-12-22
8,VIC2010-12-21,VIC,15.779,16.398,16.488,15.602,15.804,447630,39672001000.0,0.0,0.0,0.0,0.0,adPrice,2010-12-21
9,VIC2010-12-20,VIC,16.931,16.398,17.196,16.398,16.679,174940,16362000400.0,0.0,0.0,-0.798,-4.64,adPrice,2010-12-20
10,VIC2010-12-17,VIC,17.285,17.196,17.907,17.196,17.386,153530,14968999900.0,0.0,0.0,-0.887,-4.91,adPrice,2010-12-17
11,VIC2010-12-16,VIC,18.969,18.083,18.969,18.083,18.422,201840,20853000200.0,0.0,0.0,-0.886,-4.67,adPrice,2010-12-16
12,VIC2010-12-15,VIC,18.259,18.969,19.146,18.259,19.251,348760,37652001000.0,137820.0,14878909400.0,0.71,3.89,adPrice,2010-12-15
