,id,symbol,open,close,high,low,average,volume,value,ptVolume,ptValue,change,percentage,object,tradingDate
0,VIC2007-12-28,VIC,6.774,6.817,6.817,6.774,6.749,220180,33990000600.0,0.0,0.0,0.0,0.0,adPrice,2007-12-28
1,VIC2007-12-27,VIC,6.817,6.817,6.861,6.817,6.783,146490,22730999800.0,0.0,0.0,-0.044,-0.64,adPrice,2007-12-27
2,VIC2007-12-26,VIC,6.774,6.861,6.861,6.774,6.774,141200,21883000800.0,0.0,0.0,0.044,0.65,adPrice,2007-12-26
3,VIC2007-12-25,VIC,6.817,6.817,6.906,6.817,6.807,166750,25962000400.0,0.0,0.0,-0.089,-1.29,adPrice,2007-12-25
4,VIC2007-12-24,VIC,6.861,6.906,6.95,6.861,6.864,155160,24362000400.0,0.0,0.0,0.0,0.0,adPrice,2007-12-24
5,VIC2007-12-21,VIC,6.861,6.906,6.906,6.861,6.856,220330,34558001000.0,0.0,0.0,0.0,0.0,adPrice,2007-12-21
6,VIC2007-12-20,VIC,6.861,6.906,7.039,6.861,6.907,191390,30236999700.0,0.0,0.0,-0.089,-1.27,adPrice,2007-12-20
7,VIC2007-12-19,VIC,6.906,6.995,6.995,6.906,6.933,167140,26507999200.0,0.0,0.0,0.134,1.95,adPrice,2007-12-19
8,VIC2007-12-18,VIC,6.774,6.861,6.861,6.774,6.783,154370,23950999600.0,0.0,0.0,0.044,0.65,adPrice,2007-12-18
9,VIC2007-12-17,VIC,6.774,6.817,6.817,6.774,6.773,157580,24412999700.0,0.0,0.0,-0.044,-0.64,adPrice,2007-12-17
10,VIC2007-12-14,VIC,6.774,6.861,6.861,6.774,6.79,185510,28813000700.0,0.0,0.0,0.044,0.65,adPrice,2007-12-14
11,VIC2007-12-13,VIC,6.906,6.817,6.906,6.817,6.792,303550,47158002000.0,0.0,0.0,-0.044,-0.64,adPrice,2007-12-13
12,VIC2007-12-12,VIC,6.774,6.861,6.95,6.774,6.819,127990,19964000300.0,0.0,0.0,0.132,1.96,adPrice,2007-12-12
