,id,symbol,open,close,high,low,average,volume,value,ptVolume,ptValue,change,percentage,object,tradingDate
0,VIC2008-12-31,VIC,5.034,5.069,5.069,5.034,5.038,9130,726000000.0,0.0,0.0,0.0,0.0,adPrice,2008-12-31
1,VIC2008-12-30,VIC,4.908,5.069,5.069,4.908,4.994,13790,1087000060.0,0.0,0.0,0.161,3.28,adPrice,2008-12-30
2,VIC2008-12-29,VIC,4.877,4.908,4.971,4.877,4.873,4330,333000000.0,0.0,0.0,0.031,0.64,adPrice,2008-12-29
3,VIC2008-12-26,VIC,4.877,4.877,4.908,4.877,4.851,5550,425000000.0,0.0,0.0,0.0,0.0,adPrice,2008-12-26
4,VIC2008-12-25,VIC,4.908,4.877,4.94,4.877,4.879,3610,278000000.0,0.0,0.0,0.0,0.0,adPrice,2008-12-25
5,VIC2008-12-24,VIC,4.781,4.877,4.877,4.781,4.837,20680,1579000060.0,0.0,0.0,0.0,0.0,adPrice,2008-12-24
6,VIC2008-12-23,VIC,4.908,4.877,4.908,4.877,4.868,9580,736000000.0,0.0,0.0,-0.157,-3.12,adPrice,2008-12-23
7,VIC2008-12-22,VIC,5.354,5.034,5.354,5.034,5.21,7260,597000000.0,647500.0,49908748000.0,-0.097,-1.89,adPrice,2008-12-22
8,VIC2008-12-19,VIC,5.29,5.131,5.388,5.131,5.232,15100,1247000060.0,40000.0,3220000000.0,-0.257,-4.77,adPrice,2008-12-19
9,VIC2008-12-18,VIC,5.354,5.388,5.388,5.321,5.336,35110,2956999940.0,0.0,0.0,0.034,0.64,adPrice,2008-12-18
10,VIC2008-12-17,VIC,5.321,5.354,5.354,5.227,5.284,35560,2966000130.0,0.0,0.0,0.033,0.62,adPrice,2008-12-17
11,VIC2008-12-16,VIC,5.483,5.321,5.483,5.321,5.391,60630,5159000100.0,0.0,0.0,-0.033,-0.62,adPrice,2008-12-16
