,id,symbol,open,close,high,low,average,volume,value,ptVolume,ptValue,change,percentage,object,tradingDate
0,,^VNINDEX,1273.29,1270.79,1283.8199,1266.92,,451951637,,,,,,,2021-07-21
1,,^VNINDEX,1243.51,1273.29,1273.29,1225.52,,529526200,,,,,,,2021-07-20
2,,^VNINDEX,1270.1801,1243.51,1276.55,1237.79,,661312300,,,,,,,2021-07-19
3,,^VNINDEX,1298.38,1299.3101,1304.37,1296.0601,,407835900,,,,,,,2021-07-16
4,,^VNINDEX,1270.77,1293.92,1299.1801,1270.77,,410860200,,,,,,,2021-07-15
5,,^VNINDEX,1297.54,1279.91,1305.37,1264.6801,,537526800,,,,,,,2021-07-14
6,,^VNINDEX,1305.36,1297.54,1307.73,1278.3,,489817300,,,,,,,2021-07-13
7,,^VNINDEX,1338.11,1296.3,1340.65,1270.0601,,895935000,,,,,,,2021-07-12
8,,^VNINDEX,1365.28,1347.14,1373.51,1335.9,,701591000,,,,,,,2021-07-09
9,,^VNINDEX,1381.11,1374.6801,1385.75,1363.92,,520186100,,,,,,,2021-07-08
10,,^VNINDEX,1361.76,1388.55,1388.55,1334.58,,721213400,,,,,,,2021-07-07
11,,^VNINDEX,1412.9301,1354.79,1418.99,1354.79,,762108800,,,,,,,2021-07-06
12,,^VNINDEX,1420.27,1411.13,1421.52,1394.12,,763287300,,,,,,,2021-07-05
13,,^VNINDEX,1422.89,1420.27,1424.28,1415.8199,,638260100,,,,,,,2021-07-02
14,,^VNINDEX,1412.15,1417.08,1417.27,1402.1801,,688259900,,,,,,,2021-07-01
15,,^VNINDEX,1410.83,1408.55,1419.61,1408.1801,,520397700,,,,,,,2021-06-30
16,,^VNINDEX,1408.34,1410.04,1416.34,1405.8101,,597483200,,,,,,,2021-06-29
17,,^VNINDEX,1397.96,1405.8101,1406.02,1390.5601,,643843600,,,,,,,2021-06-28
18,,^VNINDEX,1382.11,1390.12,1390.12,1372.8,,510070000,,,,,,,2021-06-25
19,,^VNINDEX,1376.87,1379.72,1384.71,1372.99,,529135200,,,,,,,2021-06-24
20,,^VNINDEX,1383.15,1376.87,1388.33,1372.0601,,635671800,,,,,,,2021-06-23
21,,^VNINDEX,1380.84,1379.97,1385.98,1372.63,,685249500,,,,,,,2021-06-22
22,,^VNINDEX,1373.59,1372.63,1381.74,1367.85,,722673600,,,,,,,2021-06-21
23,,^VNINDEX,1366.1899,1377.77,1377.77,1359.92,,741785200,,,,,,,2021-06-18
24,,^VNINDEX,1353.84,1359.92,1353.84,1337.49,,704236700,,,,,,,2021-06-17
25,,^VNINDEX,1363.85,1356.52,1370.14,1350.73,,731329200,,,,,,,2021-06-16
26,,^VNINDEX,1361.58,1367.36,1372.72,1356.59,,694197500,,,,,,,2021-06-15
27,,^VNINDEX,1352.73,1361.72,1368.53,1352.73,,704021300,,,,,,,2021-06-14
28,,^VNINDEX,1326.79,1351.74,1352.47,1322.08,,694619900,,,,,,,2021-06-11
29,,^VNINDEX,1332.9,1323.58,1336.71,1317.49,,665592200,,,,,,,2021-06-10
30,,^VNINDEX,1323.52,1332.9,1339.14,1312.08,,750693000,,,,,,,2021-06-09
31,,^VNINDEX,1355.36,1319.88,1364.48,1318.11,,857967000,,,,,,,2021-06-08
32,,^VNINDEX,1374.59,1358.78,1375.74,1347.21,,826169700,,,,,,,2021-06-07
33,,^VNINDEX,1367.0601,1374.05,1374.05,1360.42,,872452800,,,,,,,2021-06-04
34,,^VNINDEX,1345.21,1364.28,1366.0,1340.78,,841507900,,,,,,,2021-06-03
35,,^VNINDEX,1330.99,1340.78,1344.98,1330.8199,,740763400,,,,,,,2021-06-02
36,,^VNINDEX,1329.47,1337.78,1346.34,1328.84,,584817500,,,,,,,2021-06-01
37,,^VNINDEX,1326.65,1328.05,1328.05,1307.5601,,685028300,,,,,,,2021-05-31
38,,^VNINDEX,1307.79,1320.46,1323.09,1300.0601,,702181700,,,,,,,2021-05-28
39,,^VNINDEX,1318.42,1303.5699,1319.67,1299.99,,665777400,,,,,,,2021-05-27
40,,^VNINDEX,1308.04,1316.7,1317.3,1304.6801,,659595400,,,,,,,2021-05-26
41,,^VNINDEX,1299.1899,1308.58,1308.58,1297.23,,616066700,,,,,,,2021-05-25
42,,^VNINDEX,1287.5,1297.98,1299.83,1283.9301,,640625700,,,,,,,2021-05-24
43,,^VNINDEX,1272.84,1283.9301,1289.03,1268.46,,625629100,,,,,,,2021-05-21
44,,^VNINDEX,1264.62,1278.22,1278.22,1255.78,,680615500,,,,,,,2021-05-20
