,id,symbol,open,close,high,low,average,volume,value,ptVolume,ptValue,change,percentage,object,tradingDate
0,VIC2018-12-28,VIC,103.3,95.3,103.4,95.3,96.9,381320,36948115000.0,0.0,0.0,-7.1,-6.93,adPrice,2018-12-28
1,VIC2018-12-27,VIC,101.0,102.4,102.9,101.0,102.16,690680,70558761000.0,0.0,0.0,0.5,0.49,adPrice,2018-12-27
2,VIC2018-12-26,VIC,101.0,101.9,101.9,101.0,101.61,367750,37368066000.0,0.0,0.0,0.0,0.0,adPrice,2018-12-26
3,VIC2018-12-25,VIC,100.1,101.9,101.9,100.1,101.2,293610,29714147300.0,0.0,0.0,-0.1,-0.1,adPrice,2018-12-25
4,VIC2018-12-24,VIC,102.0,102.0,102.2,101.3,101.96,216960,22120745000.0,0.0,0.0,0.0,0.0,adPrice,2018-12-24
5,VIC2018-12-21,VIC,100.5,102.0,102.0,100.0,101.76,791040,80495002000.0,0.0,0.0,0.1,0.1,adPrice,2018-12-21
6,VIC2018-12-20,VIC,101.0,101.9,102.0,100.8,101.65,387370,39376036000.0,0.0,0.0,-0.1,-0.1,adPrice,2018-12-20
7,VIC2018-12-19,VIC,102.0,102.0,102.3,100.5,101.73,506600,51535598000.0,0.0,0.0,0.0,0.0,adPrice,2018-12-19
8,VIC2018-12-18,VIC,101.8,102.0,102.0,100.0,101.36,531470,53867479000.0,0.0,0.0,-0.5,-0.49,adPrice,2018-12-18
9,VIC2018-12-17,VIC,102.0,102.5,102.7,101.9,102.32,205950,21073578000.0,0.0,0.0,-0.2,-0.19,adPrice,2018-12-17
10,VIC2018-12-14,VIC,102.2,102.7,103.0,101.6,102.25,234660,23994554400.0,0.0,0.0,-0.1,-0.1,adPrice,2018-12-14
11,VIC2018-12-13,VIC,102.5,102.8,103.9,101.8,102.86,488820,50281353000.0,309810.0,31958140900.0,0.6,0.59,adPrice,2018-12-13
12,VIC2018-12-12,VIC,102.2,102.2,102.4,102.0,102.22,403320,41226072000.0,20000.0,2044000000.0,0.0,0.0,adPrice,2018-12-12
13,VIC2018-12-11,VIC,102.1,102.2,102.2,101.4,102.0,457470,46661304000.0,0.0,0.0,0.1,0.1,adPrice,2018-12-11
14,VIC2018-12-10,VIC,102.0,102.1,102.2,101.1,101.7,806730,82042077000.0,0.0,0.0,-0.1,-0.1,adPrice,2018-12-10
15,VIC2018-12-07,VIC,102.1,102.2,102.2,101.5,102.05,460960,47039676000.0,0.0,0.0,0.1,0.1,adPrice,2018-12-07
16,VIC2018-12-06,VIC,102.1,102.1,102.2,101.1,101.93,251610,25646086100.0,0.0,0.0,0.0,0.0,adPrice,2018-12-06
17,VIC2018-12-05,VIC,101.9,102.1,102.2,101.0,101.9,461240,47001272000.0,500000.0,50975998000.0,0.1,0.1,adPrice,2018-12-05
18,VIC2018-12-04,VIC,102.4,102.0,102.4,101.6,101.91,966490,98497864000.0,446770.0,45621735000.0,0.1,0.1,adPrice,2018-12-04
19,VIC2018-12-03,VIC,101.8,101.9,103.0,101.3,101.93,262710,26778642400.0,0.0,0.0,0.2,0.2,adPrice,2018-12-03
20,VIC2018-11-30,VIC,101.0,101.7,102.0,97.5,100.71,1024240,103151141000.0,0.0,0.0,-0.3,-0.29,adPrice,2018-11-30
21,VIC2018-11-29,VIC,102.5,102.0,103.0,101.7,102.24,367130,37534417000.0,100000.0,10203499500.0,0.0,0.0,adPrice,2018-11-29
22,VIC2018-11-28,VIC,101.5,102.0,102.0,100.8,101.62,577600,58695987000.0,0.0,0.0,0.5,0.49,adPrice,2018-11-28
23,VIC2018-11-27,VIC,100.5,101.5,103.2,100.5,101.82,467400,47589687000.0,320180.0,32600086500.0,1.0,1.0,adPrice,2018-11-27
24,VIC2018-11-26,VIC,99.0,100.5,100.5,98.0,99.38,642520,63855788000.0,400000.0,39837499000.0,1.5,1.52,adPrice,2018-11-26
25,VIC2018-11-23,VIC,98.8,99.0,99.0,97.0,98.28,1055870,103768089000.0,0.0,0.0,1.0,1.02,adPrice,2018-11-23
26,VIC2018-11-22,VIC,97.2,98.0,98.0,96.5,97.4,1345610,131062342000.0,0.0,0.0,0.7,0.72,adPrice,2018-11-22
27,VIC2018-11-21,VIC,97.0,97.3,97.3,95.0,96.98,1609020,156035727000.0,500000.0,49500000000.0,0.1,0.1,adPrice,2018-11-21
28,VIC2018-11-20,VIC,94.7,97.2,97.2,94.7,96.53,1470120,141915193000.0,0.0,0.0,0.8,0.83,adPrice,2018-11-20
29,VIC2018-11-19,VIC,90.1,96.4,96.4,90.1,94.57,1553130,146883969000.0,0.0,0.0,6.3,6.99,adPrice,2018-11-19
30,VIC2018-11-16,VIC,91.7,90.1,92.5,89.8,90.48,895700,81042735000.0,0.0,0.0,-1.6,-1.74,adPrice,2018-11-16
31,VIC2018-11-15,VIC,94.7,91.7,94.7,90.9,91.97,689540,63417209000.0,3220000.0,318780015000.0,-3.0,-3.17,adPrice,2018-11-15
32,VIC2018-11-14,VIC,93.6,94.7,95.1,93.4,94.71,450950,42709893000.0,0.0,0.0,1.4,1.5,adPrice,2018-11-14
33,VIC2018-11-13,VIC,94.8,93.3,95.0,93.3,94.15,598800,56377422000.0,0.0,0.0,-2.6,-2.71,adPrice,2018-11-13
34,VIC2018-11-12,VIC,95.8,95.9,96.0,95.5,95.8,720990,69069234000.0,2000000.0,198000001000.0,0.0,0.0,adPrice,2018-11-12
35,VIC2018-11-09,VIC,95.0,95.9,96.0,95.0,95.68,602570,57656222000.0,0.0,0.0,-0.1,-0.1,adPrice,2018-11-09
36,VIC2018-11-08,VIC,96.0,96.0,96.6,95.8,96.05,383030,36790882000.0,0.0,0.0,0.0,0.0,adPrice,2018-11-08
37,VIC2018-11-07,VIC,96.3,96.0,96.3,94.3,95.39,608180,58016666000.0,0.0,0.0,0.2,0.21,adPrice,2018-11-07
38,VIC2018-11-06,VIC,96.0,95.8,96.5,95.4,95.92,597170,57277747000.0,101040.0,9498863600.0,-0.2,-0.21,adPrice,2018-11-06
39,VIC2018-11-05,VIC,96.0,96.0,96.5,95.1,95.64,664130,63515222000.0,0.0,0.0,0.0,0.0,adPrice,2018-11-05
40,VIC2018-11-02,VIC,95.6,96.0,96.7,95.5,95.89,1484060,142310490000.0,88500.0,8487592400.0,0.5,0.52,adPrice,2018-11-02
41,VIC2018-11-01,VIC,96.5,95.5,96.8,95.0,95.53,1225020,117021647000.0,0.0,0.0,-1.7,-1.75,adPrice,2018-11-01
42,VIC2018-10-31,VIC,95.6,97.2,97.2,95.6,96.78,582470,56370651000.0,1586003.0,143374664000.0,0.6,0.62,adPrice,2018-10-31
43,VIC2018-10-30,VIC,95.5,96.6,97.3,95.5,96.55,452080,43648082000.0,0.0,0.0,-0.6,-0.62,adPrice,2018-10-30
44,VIC2018-10-29,VIC,95.5,97.2,97.7,95.0,96.31,643700,61992743000.0,0.0,0.0,0.8,0.83,adPrice,2018-10-29
45,VIC2018-10-26,VIC,96.2,96.4,98.0,95.7,96.67,653110,63138484000.0,0.0,0.0,-0.4,-0.41,adPrice,2018-10-26
46,VIC2018-10-25,VIC,96.7,96.8,98.2,94.6,96.79,404050,39106286000.0,24000.0,2400000000.0,-2.0,-2.02,adPrice,2018-10-25
