,ACB,BCM,BHN,BID,BVH,CTG,DXG,EIB,FPT,GAS,GEX,GVR,HCM,HDB,HPG,HSG,HVN,KBC,KDC,KDH,LPB,MBB,MSB,MSN,MWG,NVL,OCB,PDR,PLX,PNJ,POW,REE,SAB,SHP,SSB,SSI,STB,TCB,TPB,VCB,VCG,VCI,VGC,VHM,VIB,VIC,VJC,VNM,VPB,VRE,^VNINDEX
2014-09-30,0.3707265273897357,0.0,0.0,0.4203769024832087,1.703209174071536,0.6986322993339495,1.270705416410384,0.4680254977510657,1.1509397078878947,1.218902178407806,0.0,0.0,1.5000722656553536,0.0,1.2023211797104754,1.4169211128359653,0.0,1.7770495583045696,0.4415711570456821,0.5978966304263627,0.0,0.6827224438983174,0.0,1.0210351497404948,-0.03218083766514813,0.0,0.0,0.20201979988446578,0.0,0.3675905734612236,0.0,1.3488830052678589,0.0,0.37356155777208333,0.0,1.3187066027267393,0.5514528187050848,0.0,0.0,1.230530859138276,1.94520459640965,0.0,0.0,0.0,0.0,0.782784046776058,0.0,0.8293759414260615,0.0,0.0,0.9999999999999999
2014-10-31,0.31702007388923736,0.0,0.0,0.5004239178866207,1.6097185376590686,0.6879743902802895,1.2872242692705935,0.49946912739156224,1.1716157116383146,1.2824250544678,0.0,0.0,1.4763006968045078,0.0,1.2315418685653123,1.3300260709854446,0.0,1.7865462515168171,0.4627210599623617,0.6321537611278067,0.0,0.6861439950642174,0.0,0.9526587575381615,0.0290818656667408,0.0,0.0,0.22352179771656155,0.0,0.3254404589647133,0.0,1.3241711999803247,0.0,0.4257690656290081,0.0,1.3386997796250333,0.5422184869548788,0.0,0.0,1.1505628448253478,1.9267585749083977,0.0,0.0,0.0,0.0,0.8284787960783576,0.0,0.7909230064586164,0.0,0.0,1.0000000000000002
2014-12-31,0.3221972601899405,0.0,0.0,0.5684602640453716,1.5281819445592937,0.6179139354443554,1.395469642421777,0.610314426952494,1.2035075932329584,1.3640806189167578,0.0,0.0,1.557944034793229,0.0,1.2714023609223073,1.263678326130512,0.0,1.6898002409984203,0.6298129734805332,0.6750285075213676,0.0,0.692329781768337,0.0,0.9080113444377793,0.11134698483273242,0.0,0.0,0.25594764524213526,0.0,0.3448912179307815,0.0,1.1872623556108648,0.0,0.41066337896954064,0.0,1.3814313575673536,0.683532413133052,0.0,0.0,1.0415768947186403,1.8760380005683137,0.0,0.0,0.0,0.0,0.8396441371872776,0.0,0.7451952329724094,0.0,0.0,1.0000000000000002
2015-03-31,0.41840944439828137,0.0,0.0,0.8620576896813775,1.397360818928425,0.7727954915446542,1.379151229235645,0.7408038610803913,1.1272144199625485,1.395982811143036,0.0,0.0,1.570357501105933,0.0,1.2265827173945587,1.1707992491824502,0.0,1.4822951189580034,0.6381953672319902,0.6570187554441097,0.0,0.8384065438718225,0.0,0.8592436360603452,0.25864525782313313,0.0,0.0,0.3065705570918935,0.0,0.30224222371119863,0.0,1.1201826426128576,0.0,0.3604913636208103,0.0,1.399332579770628,0.8127273386752097,0.0,0.0,1.1364172455618813,1.8230218301355796,0.0,0.0,0.0,0.0,0.8435805483499985,0.0,0.6667500440491756,0.0,0.0,1.0
2015-06-30,0.4666694147768605,0.0,0.0,1.040738395291929,1.3874435360928632,0.8905402593229694,1.3733778447315976,0.7383057274993884,1.06729266240349,1.4359584192249777,0.0,0.0,1.5195362168367734,0.0,1.184165215411654,1.2042665718610537,0.0,1.3608044433716797,0.6827650878052995,0.7858033609091177,0.0,0.8581266667969982,0.0,0.8542764913194894,0.29452705826453374,0.0,0.0,0.27683761221912395,0.0,0.32205578399612356,0.0,1.0595892224079706,0.0,0.3298082379436471,0.0,1.3528767058642843,0.8493364610456302,0.0,0.0,1.1414365451236221,1.7177589746173134,0.0,0.0,0.0,0.0,0.8023072343199866,0.0,0.6548471971256773,0.0,0.0,1.0
2015-07-31,0.5739174126306343,0.0,0.0,1.1410262565348772,1.4427995911838183,0.9677919646159834,1.4151797272187725,0.8174318951680735,1.027597689132945,1.4082029571055943,0.0,0.0,1.4956325468453295,0.0,1.1498706112212849,1.207562125351569,0.0,1.3294432433430312,0.7220008812753419,0.8063242298971383,0.0,0.8604008931462396,0.0,0.8201341569088914,0.29263610120034045,0.0,0.0,0.3660883619648543,0.0,0.31030414733306333,0.0,1.06115856256937,0.0,0.29401398357998976,0.0,1.3335448123643519,0.7752980573995312,0.0,0.0,1.2029119406989868,1.7150529973436792,0.0,0.0,0.0,0.0,0.7597748856032053,0.0,0.6499738848357877,0.0,0.0,1.0
2015-08-31,0.7360409474208882,0.0,0.0,1.2708048518096289,1.473071107474815,1.084762254531019,1.3076454966701387,0.6900348014857755,0.94496321075771,1.451397858762005,0.0,0.0,1.3870256591874526,0.0,1.1399410396437049,1.1309318562889903,0.0,1.2547601404239415,0.7688822799441797,0.7159982514768781,0.0,0.8697772893690531,0.0,0.7664839893631379,0.3855894688540183,0.0,0.0,0.38930876093782,0.0,0.43011630370429765,0.0,1.0433066633147257,0.0,0.2771204215184968,0.0,1.2647932178666752,0.7720200881260036,0.0,0.0,1.257208320663891,1.5827706992860107,0.0,0.0,0.0,0.0,0.6985802829367088,0.0,0.7318324787519188,0.0,0.0,0.9999999999999999
2015-09-30,0.7492669138948522,0.0,0.0,1.2917689506849004,1.492591243337154,1.0971187633265505,1.270613647745412,0.6518363003995196,0.9316833100387327,1.4565148250092022,0.0,0.0,1.3691505648448419,0.0,1.1616997400902027,1.1126332525262614,0.0,1.2107228380865556,0.7748535343976739,0.7501089133907427,0.0,0.8566577314674866,0.0,0.7577810127175089,0.42168870911534073,0.0,0.0,0.3940579748357737,0.0,0.41475569291073744,0.0,1.0501986332368791,0.0,0.28546979606331085,0.0,1.2479562148344827,0.7748330063851561,0.0,0.0,1.2960513861169642,1.5631285705314855,0.0,0.0,0.0,0.0,0.6855994036286582,0.0,0.7202390615291816,0.0,0.0,1.0000000000000002
2015-11-30,0.8384333052239661,0.0,0.0,1.4084915832859624,1.5503888063697666,1.1618239215316908,1.2182591893687849,0.6485583682775207,0.8546583786605522,1.549767011813914,0.11293841115111117,0.0,1.1944999437850445,0.0,1.1021475363629833,0.9834490450578166,0.0,1.1416416099767432,0.7253840627650521,0.8188638789438833,0.0,0.8055847833716876,0.0,0.6925667661930105,0.6514970125659314,0.0,0.0,0.46097433151587164,0.0,0.4002494738646488,0.0,0.8810549335856389,0.0,0.3106391301523654,0.0,1.1020118860986152,0.8580179333237964,0.0,0.0,1.3014076061347417,1.3276913562929011,0.0,-0.022385782936054824,0.0,0.0,0.7108766155830377,0.0,0.7200775245820882,0.0,0.0,1.0000000000000002
2015-12-31,0.8372387244702995,0.0,0.0,1.4242497724658114,1.5778771284326514,1.1893798695385134,1.1934890116630497,0.6243622512010981,0.852976648513323,1.5128131445598623,0.15493191906606324,0.0,1.2011103816828836,0.0,1.07046057791387,0.9106279375948414,0.0,1.1745392136531112,0.6932679916743689,0.8283904067521859,0.0,0.783704186936105,0.0,0.6292677214441035,0.6693951523077968,0.0,0.0,0.4076556329205662,0.0,0.43453992697427135,0.0,0.8570749050635065,0.0,0.306012696237162,0.0,1.0715101972178147,0.9123380788981308,0.0,0.0,1.3592843183345118,1.2884799856502727,0.0,0.02786230980925506,0.0,0.0,0.7150772790411704,0.0,0.7387174261773426,0.0,0.0,1.0
