|createdDate|displayLevel|displayOrder|exchangeCode|fiscalDate|id|itemCode|itemName|locale|modelType|modifiedDate|numericValue|reportType|rowNo|secCode|companyId
25|2014-02-18T00:00:00|3.0|410.0|HOSTC|2013-12-31T00:00:00|VIC11580ANNUAL31-DEC-13VN1|11580|Tài sản ngắn hạn khác|VN|1|2016-11-05T00:00:00|3722907902645|ANNUAL|5|VIC|
26|2014-02-18T00:00:00|1.0|420.0|HOSTC|2013-12-31T00:00:00|VIC12000ANNUAL31-DEC-13VN1|12000|Tài sản dài hạn|VN|1|2016-11-05T00:00:00|35927970738026|ANNUAL|5|VIC|
27|2014-02-18T00:00:00|2.0|430.0|HOSTC|2013-12-31T00:00:00|VIC12100ANNUAL31-DEC-13VN1|12100|Các khoản phải thu dài hạn|VN|1|2016-11-05T00:00:00|0|ANNUAL|5|VIC|
28|2014-02-18T00:00:00|3.0|440.0|HOSTC|2013-12-31T00:00:00|VIC12110ANNUAL31-DEC-13VN1|12110|Phải thu dài hạn của khách hàng|VN|1|2016-11-05T00:00:00|0|ANNUAL|5|VIC|
29|2014-02-18T00:00:00|3.0|445.0|HOSTC|2013-12-31T00:00:00|VIC12111ANNUAL31-DEC-13VN1|12111|Trả trước dài hạn người bán|VN|1|2016-11-05T00:00:00|0|ANNUAL|5|VIC|
30|2014-02-18T00:00:00|3.0|450.0|HOSTC|2013-12-31T00:00:00|VIC12120ANNUAL31-DEC-13VN1|12120|Vốn kinh doanh ở đơn vị trực thuộc|VN|1|2016-11-05T00:00:00|0|ANNUAL|5|VIC|
31|2014-02-18T00:00:00|3.0|460.0|HOSTC|2013-12-31T00:00:00|VIC12130ANNUAL31-DEC-13VN1|12130|Phải thu dài hạn nội bộ|VN|1|2016-11-05T00:00:00|0|ANNUAL|5|VIC|
32|2014-02-18T00:00:00|3.0|465.0|HOSTC|2013-12-31T00:00:00|VIC12140ANNUAL31-DEC-13VN1|12140|Phải thu về cho vay dài hạn|VN|1|2016-11-05T00:00:00|0|ANNUAL|5|VIC|
33|2014-02-18T00:00:00|3.0|470.0|HOSTC|2013-12-31T00:00:00|VIC12180ANNUAL31-DEC-13VN1|12180|Phải thu dài hạn khác|VN|1|2016-11-05T00:00:00|0|ANNUAL|5|VIC|
34|2014-02-18T00:00:00|3.0|520.0|HOSTC|2013-12-31T00:00:00|VIC12190ANNUAL31-DEC-13VN1|12190|Dự phòng phải thu dài hạn khó đòi|VN|1|2016-11-05T00:00:00|0|ANNUAL|5|VIC|
35|2014-02-18T00:00:00|2.0|530.0|HOSTC|2013-12-31T00:00:00|VIC12200ANNUAL31-DEC-13VN1|12200|Tài sản cố định|VN|1|2016-11-05T00:00:00|11724114750744|ANNUAL|5|VIC|
36|2014-02-18T00:00:00|3.0|540.0|HOSTC|2013-12-31T00:00:00|VIC12210ANNUAL31-DEC-13VN1|12210|Tài sản cố định hữu hình|VN|1|2016-11-05T00:00:00|5645716640220|ANNUAL|5|VIC|
37|2014-02-18T00:00:00|4.0|550.0|HOSTC|2013-12-31T00:00:00|VIC12220ANNUAL31-DEC-13VN1|12220|Nguyên giá|VN|1|2016-11-05T00:00:00|6707573344357|ANNUAL|5|VIC|
38|2014-02-18T00:00:00|4.0|630.0|HOSTC|2013-12-31T00:00:00|VIC12230ANNUAL31-DEC-13VN1|12230|Giá trị hao mòn luỹ kế|VN|1|2016-11-05T00:00:00|-1061856704137|ANNUAL|5|VIC|
39|2014-02-18T00:00:00|3.0|700.0|HOSTC|2013-12-31T00:00:00|VIC12240ANNUAL31-DEC-13VN1|12240|Tài sản cố định thuê tài chính|VN|1|2016-11-05T00:00:00|0|ANNUAL|5|VIC|
40|2014-02-18T00:00:00|4.0|710.0|HOSTC|2013-12-31T00:00:00|VIC12250ANNUAL31-DEC-13VN1|12250|Nguyên giá|VN|1|2016-11-05T00:00:00|0|ANNUAL|5|VIC|
41|2014-02-18T00:00:00|4.0|780.0|HOSTC|2013-12-31T00:00:00|VIC12260ANNUAL31-DEC-13VN1|12260|Giá trị hao mòn luỹ kế|VN|1|2016-11-05T00:00:00|0|ANNUAL|5|VIC|
42|2014-02-18T00:00:00|3.0|850.0|HOSTC|2013-12-31T00:00:00|VIC12270ANNUAL31-DEC-13VN1|12270|Tài sản cố định vô hình|VN|1|2016-11-05T00:00:00|504491185676|ANNUAL|5|VIC|
