|createdDate|displayLevel|displayOrder|exchangeCode|fiscalDate|id|itemCode|itemName|locale|modelType|modifiedDate|numericValue|reportType|rowNo|secCode
0|2012-04-05T16:18:17|1|10|HOSTC|2011-12-31T00:00:00|VIC11000ANNUAL31-DEC-11VN1|11000|Tài sản ngắn hạn|VN|1|2017-12-14T00:00:00|20039498304259|ANNUAL|7|VIC
1|2012-04-05T16:18:17|2|20|HOSTC|2011-12-31T00:00:00|VIC11100ANNUAL31-DEC-11VN1|11100|Tiền và các khoản tương đương tiền|VN|1|2017-12-14T00:00:00|1231728589840|ANNUAL|7|VIC
2|2012-04-05T16:18:17|3|30|HOSTC|2011-12-31T00:00:00|VIC11110ANNUAL31-DEC-11VN1|11110|Tiền|VN|1|2017-12-14T00:00:00|656243958622|ANNUAL|7|VIC
3|2012-04-05T16:18:17|3|70|HOSTC|2011-12-31T00:00:00|VIC11120ANNUAL31-DEC-11VN1|11120|Các khoản tương đương tiền|VN|1|2017-12-14T00:00:00|575484631218|ANNUAL|7|VIC
4|2012-04-05T16:18:17|2|80|HOSTC|2011-12-31T00:00:00|VIC11200ANNUAL31-DEC-11VN1|11200|Các khoản đầu tư tài chính ngắn hạn|VN|1|2017-12-14T00:00:00|4174887714691|ANNUAL|7|VIC
5|2012-04-05T16:18:17|3|90|HOSTC|2011-12-31T00:00:00|VIC11210ANNUAL31-DEC-11VN1|11210|Đầu tư ngắn hạn|VN|1|2017-12-14T00:00:00|4195988849698|ANNUAL|7|VIC
6|2012-04-05T16:18:17|3|100|HOSTC|2011-12-31T00:00:00|VIC11290ANNUAL31-DEC-11VN1|11290|Dự phòng giảm giá đầu tư ngắn hạn|VN|1|2017-12-14T00:00:00|-21101135007|ANNUAL|7|VIC
7|2012-04-05T16:18:17|3|105|HOSTC|2011-12-31T00:00:00|VIC412320ANNUAL31-DEC-11VN1|412320|Đầu tư giữ đến ngày đáo hạn|VN|1|2017-12-14T00:00:00|0|ANNUAL|7|VIC
8|2012-04-05T16:18:17|2|110|HOSTC|2011-12-31T00:00:00|VIC11300ANNUAL31-DEC-11VN1|11300|Các khoản phải thu ngắn hạn|VN|1|2017-12-14T00:00:00|5135497476935|ANNUAL|7|VIC
9|2012-04-05T16:18:17|3|120|HOSTC|2011-12-31T00:00:00|VIC11310ANNUAL31-DEC-11VN1|11310|Phải thu khách hàng|VN|1|2017-12-14T00:00:00|1096924061390|ANNUAL|7|VIC
10|2012-04-05T16:18:17|3|130|HOSTC|2011-12-31T00:00:00|VIC11320ANNUAL31-DEC-11VN1|11320|Trả trước cho người bán|VN|1|2017-12-14T00:00:00|2041076551154|ANNUAL|7|VIC
11|2012-04-05T16:18:17|3|140|HOSTC|2011-12-31T00:00:00|VIC11330ANNUAL31-DEC-11VN1|11330|Phải thu nội bộ ngắn hạn|VN|1|2017-12-14T00:00:00|0|ANNUAL|7|VIC
12|2012-04-05T16:18:17|3|150|HOSTC|2011-12-31T00:00:00|VIC11340ANNUAL31-DEC-11VN1|11340|Phải thu theo tiến độ kế hoạch hợp đồng xây dựng|VN|1|2017-12-14T00:00:00|0|ANNUAL|7|VIC
13|2012-04-05T16:18:17|3|155|HOSTC|2011-12-31T00:00:00|VIC11345ANNUAL31-DEC-11VN1|11345|Phải thu về cho vay ngắn hạn|VN|1|2017-12-14T00:00:00|0|ANNUAL|7|VIC
14|2012-04-05T16:18:17|3|160|HOSTC|2011-12-31T00:00:00|VIC11350ANNUAL31-DEC-11VN1|11350|Các khoản phải thu khác|VN|1|2017-12-14T00:00:00|1999876495659|ANNUAL|7|VIC
