|createdDate|displayLevel|displayOrder|exchangeCode|fiscalDate|id|itemCode|itemName|locale|modelType|modifiedDate|numericValue|reportType|rowNo|secCode
27|2011-02-21T00:00:00|2|430|HOSTC|2010-12-31T00:00:00|VIC12100ANNUAL31-DEC-10VN1|12100|Các khoản phải thu dài hạn|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
28|2011-02-21T00:00:00|3|440|HOSTC|2010-12-31T00:00:00|VIC12110ANNUAL31-DEC-10VN1|12110|Phải thu dài hạn của khách hàng|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
29|2011-02-21T00:00:00|3|445|HOSTC|2010-12-31T00:00:00|VIC12111ANNUAL31-DEC-10VN1|12111|Trả trước dài hạn người bán|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
30|2011-02-21T00:00:00|3|450|HOSTC|2010-12-31T00:00:00|VIC12120ANNUAL31-DEC-10VN1|12120|Vốn kinh doanh ở đơn vị trực thuộc|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
31|2011-02-21T00:00:00|3|460|HOSTC|2010-12-31T00:00:00|VIC12130ANNUAL31-DEC-10VN1|12130|Phải thu dài hạn nội bộ|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
32|2011-02-21T00:00:00|3|465|HOSTC|2010-12-31T00:00:00|VIC12140ANNUAL31-DEC-10VN1|12140|Phải thu về cho vay dài hạn|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
33|2011-02-21T00:00:00|3|470|HOSTC|2010-12-31T00:00:00|VIC12180ANNUAL31-DEC-10VN1|12180|Phải thu dài hạn khác|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
34|2011-02-21T00:00:00|3|520|HOSTC|2010-12-31T00:00:00|VIC12190ANNUAL31-DEC-10VN1|12190|Dự phòng phải thu dài hạn khó đòi|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
35|2011-02-21T00:00:00|2|530|HOSTC|2010-12-31T00:00:00|VIC12200ANNUAL31-DEC-10VN1|12200|Tài sản cố định|VN|1|2018-11-21T14:19:00|4714385852467|ANNUAL|8|VIC
36|2011-02-21T00:00:00|3|540|HOSTC|2010-12-31T00:00:00|VIC12210ANNUAL31-DEC-10VN1|12210|Tài sản cố định hữu hình|VN|1|2018-11-21T14:19:00|163686218038|ANNUAL|8|VIC
37|2011-02-21T00:00:00|4|550|HOSTC|2010-12-31T00:00:00|VIC12220ANNUAL31-DEC-10VN1|12220|Nguyên giá|VN|1|2018-11-21T14:19:00|192230352378|ANNUAL|8|VIC
38|2011-02-21T00:00:00|4|630|HOSTC|2010-12-31T00:00:00|VIC12230ANNUAL31-DEC-10VN1|12230|Giá trị hao mòn luỹ kế|VN|1|2018-11-21T14:19:00|-28544134340|ANNUAL|8|VIC
39|2011-02-21T00:00:00|3|700|HOSTC|2010-12-31T00:00:00|VIC12240ANNUAL31-DEC-10VN1|12240|Tài sản cố định thuê tài chính|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
40|2011-02-21T00:00:00|4|710|HOSTC|2010-12-31T00:00:00|VIC12250ANNUAL31-DEC-10VN1|12250|Nguyên giá|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
41|2011-02-21T00:00:00|4|780|HOSTC|2010-12-31T00:00:00|VIC12260ANNUAL31-DEC-10VN1|12260|Giá trị hao mòn luỹ kế|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
42|2011-02-21T00:00:00|3|850|HOSTC|2010-12-31T00:00:00|VIC12270ANNUAL31-DEC-10VN1|12270|Tài sản cố định vô hình|VN|1|2018-11-21T14:19:00|179542613642|ANNUAL|8|VIC
43|2011-02-21T00:00:00|4|860|HOSTC|2010-12-31T00:00:00|VIC12280ANNUAL31-DEC-10VN1|12280|Nguyên giá|VN|1|2018-11-21T14:19:00|196744083572|ANNUAL|8|VIC
44|2011-02-21T00:00:00|4|930|HOSTC|2010-12-31T00:00:00|VIC12290ANNUAL31-DEC-10VN1|12290|Giá trị hao mòn luỹ kế|VN|1|2018-11-21T14:19:00|-17201469930|ANNUAL|8|VIC
45|2011-02-21T00:00:00|3|990|HOSTC|2010-12-31T00:00:00|VIC12300ANNUAL31-DEC-10VN1|12300|Chi phí xây dựng cơ bản dở dang (trước 2015)|VN|1|2018-11-21T14:19:00|4371157020787|ANNUAL|8|VIC
46|2011-02-21T00:00:00|2|1000|HOSTC|2010-12-31T00:00:00|VIC12400ANNUAL31-DEC-10VN1|12400|Bất động sản đầu tư|VN|1|2018-11-21T14:19:00|3646743623933|ANNUAL|8|VIC
47|2011-02-21T00:00:00|3|1010|HOSTC|2010-12-31T00:00:00|VIC12410ANNUAL31-DEC-10VN1|12410|Nguyên giá|VN|1|2018-11-21T14:19:00|3763420137800|ANNUAL|8|VIC
48|2011-02-21T00:00:00|3|1060|HOSTC|2010-12-31T00:00:00|VIC12420ANNUAL31-DEC-10VN1|12420|Giá trị hao mòn luỹ kế|VN|1|2018-11-21T14:19:00|-116676513867|ANNUAL|8|VIC
