|companyId|createdDate|displayLevel|displayOrder|exchangeCode|fiscalDate|id|itemCode|itemName|locale|modelType|modifiedDate|numericValue|reportType|rowNo|secCode
25|1627|2021-05-04T00:00:00|3.0|410.0|HOSTC|2021-03-31T00:00:00|VIC11580QUARTER31-MAR-21VN1|11580|Tài sản ngắn hạn khác|VN|1|2021-05-04T00:00:00|3058624000000|QUARTER|1|VIC
26|1627|2021-05-04T00:00:00|1.0|420.0|HOSTC|2021-03-31T00:00:00|VIC12000QUARTER31-MAR-21VN1|12000|Tài sản dài hạn|VN|1|2021-05-04T00:00:00|257003769000000|QUARTER|1|VIC
27|1627|2021-05-04T00:00:00|2.0|430.0|HOSTC|2021-03-31T00:00:00|VIC12100QUARTER31-MAR-21VN1|12100|Các khoản phải thu dài hạn|VN|1|2021-05-04T00:00:00|7421708000000|QUARTER|1|VIC
28|1627|2021-05-04T00:00:00|3.0|440.0|HOSTC|2021-03-31T00:00:00|VIC12110QUARTER31-MAR-21VN1|12110|Phải thu dài hạn của khách hàng|VN|1|2021-05-04T00:00:00|0|QUARTER|1|VIC
29|1627|2021-05-04T00:00:00|3.0|445.0|HOSTC|2021-03-31T00:00:00|VIC12111QUARTER31-MAR-21VN1|12111|Trả trước dài hạn người bán|VN|1|2021-05-04T00:00:00|0|QUARTER|1|VIC
30|1627|2021-05-04T00:00:00|3.0|450.0|HOSTC|2021-03-31T00:00:00|VIC12120QUARTER31-MAR-21VN1|12120|Vốn kinh doanh ở đơn vị trực thuộc|VN|1|2021-05-04T00:00:00|0|QUARTER|1|VIC
31|1627|2021-05-04T00:00:00|3.0|460.0|HOSTC|2021-03-31T00:00:00|VIC12130QUARTER31-MAR-21VN1|12130|Phải thu dài hạn nội bộ|VN|1|2021-05-04T00:00:00|0|QUARTER|1|VIC
32|1627|2021-05-04T00:00:00|3.0|465.0|HOSTC|2021-03-31T00:00:00|VIC12140QUARTER31-MAR-21VN1|12140|Phải thu về cho vay dài hạn|VN|1|2021-05-04T00:00:00|5938500000000|QUARTER|1|VIC
33|1627|2021-05-04T00:00:00|3.0|470.0|HOSTC|2021-03-31T00:00:00|VIC12180QUARTER31-MAR-21VN1|12180|Phải thu dài hạn khác|VN|1|2021-05-04T00:00:00|1483208000000|QUARTER|1|VIC
34|1627|2021-05-04T00:00:00|3.0|520.0|HOSTC|2021-03-31T00:00:00|VIC12190QUARTER31-MAR-21VN1|12190|Dự phòng phải thu dài hạn khó đòi|VN|1|2021-05-04T00:00:00|0|QUARTER|1|VIC
35|1627|2021-05-04T00:00:00|2.0|530.0|HOSTC|2021-03-31T00:00:00|VIC12200QUARTER31-MAR-21VN1|12200|Tài sản cố định|VN|1|2021-05-04T00:00:00|125039799000000|QUARTER|1|VIC
36|1627|2021-05-04T00:00:00|3.0|540.0|HOSTC|2021-03-31T00:00:00|VIC12210QUARTER31-MAR-21VN1|12210|Tài sản cố định hữu hình|VN|1|2021-05-04T00:00:00|103358569000000|QUARTER|1|VIC
37|1627|2021-05-04T00:00:00|4.0|550.0|HOSTC|2021-03-31T00:00:00|VIC12220QUARTER31-MAR-21VN1|12220|Nguyên giá TSCĐHH|VN|1|2021-05-04T00:00:00|123811163000000|QUARTER|1|VIC
38|1627|2021-05-04T00:00:00|4.0|630.0|HOSTC|2021-03-31T00:00:00|VIC12230QUARTER31-MAR-21VN1|12230|Hao mòn TSCĐHH|VN|1|2021-05-04T00:00:00|-20452594000000|QUARTER|1|VIC
39|1627|2021-05-04T00:00:00|3.0|700.0|HOSTC|2021-03-31T00:00:00|VIC12240QUARTER31-MAR-21VN1|12240|Tài sản cố định thuê tài chính|VN|1|2021-05-04T00:00:00|0|QUARTER|1|VIC
40|1627|2021-05-04T00:00:00|4.0|710.0|HOSTC|2021-03-31T00:00:00|VIC12250QUARTER31-MAR-21VN1|12250|Nguyên giá TSCĐTTC|VN|1|2021-05-04T00:00:00|0|QUARTER|1|VIC
