|createdDate|displayLevel|displayOrder|exchangeCode|fiscalDate|id|itemCode|itemName|locale|modelType|modifiedDate|numericValue|reportType|rowNo|secCode|companyId
0|2015-02-17T00:00:00|1.0|10.0|HOSTC|2014-12-31T00:00:00|VIC11000ANNUAL31-DEC-14VN1|11000|Tài sản ngắn hạn|VN|1|2016-11-06T00:00:00|35211202920049|ANNUAL|4|VIC|
1|2015-02-17T00:00:00|2.0|20.0|HOSTC|2014-12-31T00:00:00|VIC11100ANNUAL31-DEC-14VN1|11100|Tiền và các khoản tương đương tiền|VN|1|2016-11-06T00:00:00|7607513719673|ANNUAL|4|VIC|
2|2015-02-17T00:00:00|3.0|30.0|HOSTC|2014-12-31T00:00:00|VIC11110ANNUAL31-DEC-14VN1|11110|Tiền|VN|1|2016-11-06T00:00:00|1709677822085|ANNUAL|4|VIC|
3|2015-02-17T00:00:00|3.0|70.0|HOSTC|2014-12-31T00:00:00|VIC11120ANNUAL31-DEC-14VN1|11120|Các khoản tương đương tiền|VN|1|2016-11-06T00:00:00|5897835897588|ANNUAL|4|VIC|
4|2015-02-17T00:00:00|2.0|80.0|HOSTC|2014-12-31T00:00:00|VIC11200ANNUAL31-DEC-14VN1|11200|Các khoản đầu tư tài chính ngắn hạn|VN|1|2016-11-06T00:00:00|4088913717901|ANNUAL|4|VIC|
5|2015-02-17T00:00:00|3.0|90.0|HOSTC|2014-12-31T00:00:00|VIC11210ANNUAL31-DEC-14VN1|11210|Đầu tư ngắn hạn|VN|1|2016-11-06T00:00:00|105781413500|ANNUAL|4|VIC|
6|2015-02-17T00:00:00|3.0|100.0|HOSTC|2014-12-31T00:00:00|VIC11290ANNUAL31-DEC-14VN1|11290|Dự phòng giảm giá đầu tư ngắn hạn|VN|1|2016-11-06T00:00:00|-31336416600|ANNUAL|4|VIC|
7|2015-02-17T00:00:00|3.0|105.0|HOSTC|2014-12-31T00:00:00|VIC412320ANNUAL31-DEC-14VN1|412320|Đầu tư giữ đến ngày đáo hạn|VN|1|2016-11-06T00:00:00|4014468721001|ANNUAL|4|VIC|
8|2015-02-17T00:00:00|2.0|110.0|HOSTC|2014-12-31T00:00:00|VIC11300ANNUAL31-DEC-14VN1|11300|Các khoản phải thu ngắn hạn|VN|1|2016-11-06T00:00:00|5028809010579|ANNUAL|4|VIC|
9|2015-02-17T00:00:00|3.0|120.0|HOSTC|2014-12-31T00:00:00|VIC11310ANNUAL31-DEC-14VN1|11310|Phải thu khách hàng|VN|1|2016-11-06T00:00:00|833001466347|ANNUAL|4|VIC|
10|2015-02-17T00:00:00|3.0|130.0|HOSTC|2014-12-31T00:00:00|VIC11320ANNUAL31-DEC-14VN1|11320|Trả trước cho người bán|VN|1|2016-11-06T00:00:00|1459215551015|ANNUAL|4|VIC|
11|2015-02-17T00:00:00|3.0|140.0|HOSTC|2014-12-31T00:00:00|VIC11330ANNUAL31-DEC-14VN1|11330|Phải thu nội bộ ngắn hạn|VN|1|2016-11-06T00:00:00|0|ANNUAL|4|VIC|
12|2015-02-17T00:00:00|3.0|150.0|HOSTC|2014-12-31T00:00:00|VIC11340ANNUAL31-DEC-14VN1|11340|Phải thu theo tiến độ kế hoạch hợp đồng xây dựng|VN|1|2016-11-06T00:00:00|0|ANNUAL|4|VIC|
13|2015-02-17T00:00:00|3.0|155.0|HOSTC|2014-12-31T00:00:00|VIC11345ANNUAL31-DEC-14VN1|11345|Phải thu về cho vay ngắn hạn|VN|1|2016-11-06T00:00:00|2125166122168|ANNUAL|4|VIC|
14|2015-02-17T00:00:00|3.0|160.0|HOSTC|2014-12-31T00:00:00|VIC11350ANNUAL31-DEC-14VN1|11350|Các khoản phải thu khác|VN|1|2016-11-06T00:00:00|712150024751|ANNUAL|4|VIC|
15|2015-02-17T00:00:00|3.0|210.0|HOSTC|2014-12-31T00:00:00|VIC11390ANNUAL31-DEC-14VN1|11390|Dự phòng phải thu ngắn hạn khó đòi|VN|1|2016-11-06T00:00:00|-100724153702|ANNUAL|4|VIC|
16|2015-02-17T00:00:00|3.0|215.0|HOSTC|2014-12-31T00:00:00|VIC611530ANNUAL31-DEC-14VN1|611530|Tài sản thiếu chờ xử lý|VN|1|2016-11-06T00:00:00|0|ANNUAL|4|VIC|
17|2015-02-17T00:00:00|2.0|220.0|HOSTC|2014-12-31T00:00:00|VIC11400ANNUAL31-DEC-14VN1|11400|Hàng tồn kho|VN|1|2016-11-06T00:00:00|16314883755059|ANNUAL|4|VIC|
18|2015-02-17T00:00:00|3.0|230.0|HOSTC|2014-12-31T00:00:00|VIC11410ANNUAL31-DEC-14VN1|11410|Hàng tồn kho|VN|1|2016-11-06T00:00:00|16321938925683|ANNUAL|4|VIC|
19|2015-02-17T00:00:00|3.0|360.0|HOSTC|2014-12-31T00:00:00|VIC11490ANNUAL31-DEC-14VN1|11490|Dự phòng giảm giá hàng tồn kho|VN|1|2016-11-06T00:00:00|-7055170624|ANNUAL|4|VIC|
20|2015-02-17T00:00:00|2.0|370.0|HOSTC|2014-12-31T00:00:00|VIC11500ANNUAL31-DEC-14VN1|11500|Tài sản ngắn hạn khác|VN|1|2016-11-06T00:00:00|2171082716837|ANNUAL|4|VIC|
21|2015-02-17T00:00:00|3.0|380.0|HOSTC|2014-12-31T00:00:00|VIC11510ANNUAL31-DEC-14VN1|11510|Chi phí trả trước ngắn hạn|VN|1|2016-11-06T00:00:00|333307150026|ANNUAL|4|VIC|
22|2015-02-17T00:00:00|3.0|390.0|HOSTC|2014-12-31T00:00:00|VIC11520ANNUAL31-DEC-14VN1|11520|Thuế GTGT được khấu trừ|VN|1|2016-11-06T00:00:00|549937309384|ANNUAL|4|VIC|
23|2015-02-17T00:00:00|3.0|400.0|HOSTC|2014-12-31T00:00:00|VIC11540ANNUAL31-DEC-14VN1|11540|Thuế và các khoản khác phải thu Nhà nước|VN|1|2016-11-06T00:00:00|43148945553|ANNUAL|4|VIC|
24|2015-02-17T00:00:00|3.0|405.0|HOSTC|2014-12-31T00:00:00|VIC11570ANNUAL31-DEC-14VN1|11570|Giao dịch mua bán lại trái phiếu chính phủ|VN|1|2016-11-06T00:00:00|0|ANNUAL|4|VIC|
25|2015-02-17T00:00:00|3.0|410.0|HOSTC|2014-12-31T00:00:00|VIC11580ANNUAL31-DEC-14VN1|11580|Tài sản ngắn hạn khác|VN|1|2016-11-06T00:00:00|1244689311874|ANNUAL|4|VIC|
26|2015-02-17T00:00:00|1.0|420.0|HOSTC|2014-12-31T00:00:00|VIC12000ANNUAL31-DEC-14VN1|12000|Tài sản dài hạn|VN|1|2016-11-06T00:00:00|54858563585414|ANNUAL|4|VIC|
27|2015-02-17T00:00:00|2.0|430.0|HOSTC|2014-12-31T00:00:00|VIC12100ANNUAL31-DEC-14VN1|12100|Các khoản phải thu dài hạn|VN|1|2016-11-06T00:00:00|1040134586490|ANNUAL|4|VIC|
28|2015-02-17T00:00:00|3.0|440.0|HOSTC|2014-12-31T00:00:00|VIC12110ANNUAL31-DEC-14VN1|12110|Phải thu dài hạn của khách hàng|VN|1|2016-11-06T00:00:00|0|ANNUAL|4|VIC|
29|2015-02-17T00:00:00|3.0|445.0|HOSTC|2014-12-31T00:00:00|VIC12111ANNUAL31-DEC-14VN1|12111|Trả trước dài hạn người bán|VN|1|2016-11-06T00:00:00|0|ANNUAL|4|VIC|
30|2015-02-17T00:00:00|3.0|450.0|HOSTC|2014-12-31T00:00:00|VIC12120ANNUAL31-DEC-14VN1|12120|Vốn kinh doanh ở đơn vị trực thuộc|VN|1|2016-11-06T00:00:00|0|ANNUAL|4|VIC|
31|2015-02-17T00:00:00|3.0|460.0|HOSTC|2014-12-31T00:00:00|VIC12130ANNUAL31-DEC-14VN1|12130|Phải thu dài hạn nội bộ|VN|1|2016-11-06T00:00:00|0|ANNUAL|4|VIC|
32|2015-02-17T00:00:00|3.0|465.0|HOSTC|2014-12-31T00:00:00|VIC12140ANNUAL31-DEC-14VN1|12140|Phải thu về cho vay dài hạn|VN|1|2016-11-06T00:00:00|939532495238|ANNUAL|4|VIC|
33|2015-02-17T00:00:00|3.0|470.0|HOSTC|2014-12-31T00:00:00|VIC12180ANNUAL31-DEC-14VN1|12180|Phải thu dài hạn khác|VN|1|2016-11-06T00:00:00|100602091252|ANNUAL|4|VIC|
34|2015-02-17T00:00:00|3.0|520.0|HOSTC|2014-12-31T00:00:00|VIC12190ANNUAL31-DEC-14VN1|12190|Dự phòng phải thu dài hạn khó đòi|VN|1|2016-11-06T00:00:00|0|ANNUAL|4|VIC|
35|2015-02-17T00:00:00|2.0|530.0|HOSTC|2014-12-31T00:00:00|VIC12200ANNUAL31-DEC-14VN1|12200|Tài sản cố định|VN|1|2016-11-06T00:00:00|10985930243582|ANNUAL|4|VIC|
36|2015-02-17T00:00:00|3.0|540.0|HOSTC|2014-12-31T00:00:00|VIC12210ANNUAL31-DEC-14VN1|12210|Tài sản cố định hữu hình|VN|1|2016-11-06T00:00:00|10526340741649|ANNUAL|4|VIC|
37|2015-02-17T00:00:00|4.0|550.0|HOSTC|2014-12-31T00:00:00|VIC12220ANNUAL31-DEC-14VN1|12220|Nguyên giá|VN|1|2016-11-06T00:00:00|12125926443789|ANNUAL|4|VIC|
38|2015-02-17T00:00:00|4.0|630.0|HOSTC|2014-12-31T00:00:00|VIC12230ANNUAL31-DEC-14VN1|12230|Giá trị hao mòn luỹ kế|VN|1|2016-11-06T00:00:00|-1599585702140|ANNUAL|4|VIC|
39|2015-02-17T00:00:00|3.0|700.0|HOSTC|2014-12-31T00:00:00|VIC12240ANNUAL31-DEC-14VN1|12240|Tài sản cố định thuê tài chính|VN|1|2016-11-06T00:00:00|0|ANNUAL|4|VIC|
40|2015-02-17T00:00:00|4.0|710.0|HOSTC|2014-12-31T00:00:00|VIC12250ANNUAL31-DEC-14VN1|12250|Nguyên giá|VN|1|2016-11-06T00:00:00|0|ANNUAL|4|VIC|
41|2015-02-17T00:00:00|4.0|780.0|HOSTC|2014-12-31T00:00:00|VIC12260ANNUAL31-DEC-14VN1|12260|Giá trị hao mòn luỹ kế|VN|1|2016-11-06T00:00:00|0|ANNUAL|4|VIC|
