|createdDate|displayLevel|displayOrder|exchangeCode|fiscalDate|id|itemCode|itemName|locale|modelType|modifiedDate|numericValue|reportType|rowNo|secCode
27|2015-08-05T00:00:00|2|430|HOSTC|2012-09-30T00:00:00|PLX12100QUARTER30-SEP-12VN1|12100|Các khoản phải thu dài hạn|VN|1|2016-12-05T00:00:00|139479000|QUARTER|19|PLX
28|2015-08-05T00:00:00|3|440|HOSTC|2012-09-30T00:00:00|PLX12110QUARTER30-SEP-12VN1|12110|Phải thu dài hạn của khách hàng|VN|1|2016-12-05T00:00:00|155000000|QUARTER|19|PLX
29|2015-08-05T00:00:00|3|445|HOSTC|2012-09-30T00:00:00|PLX12111QUARTER30-SEP-12VN1|12111|Trả trước dài hạn người bán|VN|1|2016-12-05T00:00:00|0|QUARTER|19|PLX
30|2015-08-05T00:00:00|3|450|HOSTC|2012-09-30T00:00:00|PLX12120QUARTER30-SEP-12VN1|12120|Vốn kinh doanh ở đơn vị trực thuộc|VN|1|2016-12-05T00:00:00|0|QUARTER|19|PLX
31|2015-08-05T00:00:00|3|460|HOSTC|2012-09-30T00:00:00|PLX12130QUARTER30-SEP-12VN1|12130|Phải thu dài hạn nội bộ|VN|1|2016-12-05T00:00:00|0|QUARTER|19|PLX
32|2015-08-05T00:00:00|3|465|HOSTC|2012-09-30T00:00:00|PLX12140QUARTER30-SEP-12VN1|12140|Phải thu về cho vay dài hạn|VN|1|2016-12-05T00:00:00|0|QUARTER|19|PLX
33|2015-08-05T00:00:00|3|470|HOSTC|2012-09-30T00:00:00|PLX12180QUARTER30-SEP-12VN1|12180|Phải thu dài hạn khác|VN|1|2016-12-05T00:00:00|273763895|QUARTER|19|PLX
34|2015-08-05T00:00:00|3|520|HOSTC|2012-09-30T00:00:00|PLX12190QUARTER30-SEP-12VN1|12190|Dự phòng phải thu dài hạn khó đòi|VN|1|2016-12-05T00:00:00|-289284895|QUARTER|19|PLX
35|2015-08-05T00:00:00|2|530|HOSTC|2012-09-30T00:00:00|PLX12200QUARTER30-SEP-12VN1|12200|Tài sản cố định|VN|1|2016-12-05T00:00:00|16781359930220|QUARTER|19|PLX
36|2015-08-05T00:00:00|3|540|HOSTC|2012-09-30T00:00:00|PLX12210QUARTER30-SEP-12VN1|12210|Tài sản cố định hữu hình|VN|1|2016-12-05T00:00:00|10418266079675|QUARTER|19|PLX
37|2015-08-05T00:00:00|4|550|HOSTC|2012-09-30T00:00:00|PLX12220QUARTER30-SEP-12VN1|12220|Nguyên giá|VN|1|2016-12-05T00:00:00|18922474247031|QUARTER|19|PLX
38|2015-08-05T00:00:00|4|630|HOSTC|2012-09-30T00:00:00|PLX12230QUARTER30-SEP-12VN1|12230|Giá trị hao mòn luỹ kế|VN|1|2016-12-05T00:00:00|-8504208167356|QUARTER|19|PLX
39|2015-08-05T00:00:00|3|700|HOSTC|2012-09-30T00:00:00|PLX12240QUARTER30-SEP-12VN1|12240|Tài sản cố định thuê tài chính|VN|1|2016-12-05T00:00:00|5796252597|QUARTER|19|PLX
40|2015-08-05T00:00:00|4|710|HOSTC|2012-09-30T00:00:00|PLX12250QUARTER30-SEP-12VN1|12250|Nguyên giá|VN|1|2016-12-05T00:00:00|6242118181|QUARTER|19|PLX
41|2015-08-05T00:00:00|4|780|HOSTC|2012-09-30T00:00:00|PLX12260QUARTER30-SEP-12VN1|12260|Giá trị hao mòn luỹ kế|VN|1|2016-12-05T00:00:00|-445865584|QUARTER|19|PLX
42|2015-08-05T00:00:00|3|850|HOSTC|2012-09-30T00:00:00|PLX12270QUARTER30-SEP-12VN1|12270|Tài sản cố định vô hình|VN|1|2016-12-05T00:00:00|2604602025703|QUARTER|19|PLX
43|2015-08-05T00:00:00|4|860|HOSTC|2012-09-30T00:00:00|PLX12280QUARTER30-SEP-12VN1|12280|Nguyên giá|VN|1|2016-12-05T00:00:00|2801051704835|QUARTER|19|PLX
44|2015-08-05T00:00:00|4|930|HOSTC|2012-09-30T00:00:00|PLX12290QUARTER30-SEP-12VN1|12290|Giá trị hao mòn luỹ kế|VN|1|2016-12-05T00:00:00|-196449679132|QUARTER|19|PLX
45|2015-08-05T00:00:00|3|990|HOSTC|2012-09-30T00:00:00|PLX12300QUARTER30-SEP-12VN1|12300|Chi phí xây dựng cơ bản dở dang (trước 2015)|VN|1|2016-12-05T00:00:00|3752695572245|QUARTER|19|PLX
46|2015-08-05T00:00:00|2|1000|HOSTC|2012-09-30T00:00:00|PLX12400QUARTER30-SEP-12VN1|12400|Bất động sản đầu tư|VN|1|2016-12-05T00:00:00|155278374496|QUARTER|19|PLX
47|2015-08-05T00:00:00|3|1010|HOSTC|2012-09-30T00:00:00|PLX12410QUARTER30-SEP-12VN1|12410|Nguyên giá|VN|1|2016-12-05T00:00:00|172647431853|QUARTER|19|PLX
48|2015-08-05T00:00:00|3|1060|HOSTC|2012-09-30T00:00:00|PLX12420QUARTER30-SEP-12VN1|12420|Giá trị hao mòn luỹ kế|VN|1|2016-12-05T00:00:00|-17369057357|QUARTER|19|PLX
49|2015-08-05T00:00:00|2|1100|HOSTC|2012-09-30T00:00:00|PLX12440QUARTER30-SEP-12VN1|12440|Tài sản dở dang dài hạn|VN|1|2016-12-05T00:00:00|0|QUARTER|19|PLX
50|2015-08-05T00:00:00|3|1110|HOSTC|2012-09-30T00:00:00|PLX12450QUARTER30-SEP-12VN1|12450|Chi phí sản xuất, kinh doanh dở dang dài hạn|VN|1|2016-12-05T00:00:00|0|QUARTER|19|PLX
51|2015-08-05T00:00:00|3|1120|HOSTC|2012-09-30T00:00:00|PLX12460QUARTER30-SEP-12VN1|12460|Chi phí xây dựng cơ bản dở dang |VN|1|2016-12-05T00:00:00|0|QUARTER|19|PLX
52|2015-08-05T00:00:00|2|1160|HOSTC|2012-09-30T00:00:00|PLX12500QUARTER30-SEP-12VN1|12500|Các khoản đầu tư tài chính dài hạn|VN|1|2016-12-05T00:00:00|2308709575485|QUARTER|19|PLX
53|2015-08-05T00:00:00|3|1170|HOSTC|2012-09-30T00:00:00|PLX12510QUARTER30-SEP-12VN1|12510|Đầu tư vào công ty con|VN|1|2016-12-05T00:00:00|0|QUARTER|19|PLX
54|2015-08-05T00:00:00|3|1180|HOSTC|2012-09-30T00:00:00|PLX12520QUARTER30-SEP-12VN1|12520|Đầu tư vào công ty liên kết, liên doanh|VN|1|2016-12-05T00:00:00|2000548237630|QUARTER|19|PLX
55|2015-08-05T00:00:00|3|1190|HOSTC|2012-09-30T00:00:00|PLX12580QUARTER30-SEP-12VN1|12580|Đầu tư dài hạn khác|VN|1|2016-12-05T00:00:00|483708990096|QUARTER|19|PLX
56|2015-08-05T00:00:00|3|1250|HOSTC|2012-09-30T00:00:00|PLX12590QUARTER30-SEP-12VN1|12590|Dự phòng giảm giá đầu tư tài chính dài hạn|VN|1|2016-12-05T00:00:00|-175547652241|QUARTER|19|PLX
57|2015-08-05T00:00:00|3|1255|HOSTC|2012-09-30T00:00:00|PLX12595QUARTER30-SEP-12VN1|12595|Đầu tư dài hạn giữ đến ngày đáo hạn|VN|1|2016-12-05T00:00:00|0|QUARTER|19|PLX
