|createdDate|displayLevel|displayOrder|exchangeCode|fiscalDate|id|itemCode|itemName|locale|modelType|modifiedDate|numericValue|reportType|rowNo|secCode
0|2017-05-20T00:00:00|1|200|OTC|2009-03-31T00:00:00|MSB421100QUARTER31-MAR-09VN102|421100|Thu nhập lãi và các khoản thu nhập tương tự|VN|102||850559099107|QUARTER|17|MSB
1|2017-05-20T00:00:00|1|300|OTC|2009-03-31T00:00:00|MSB422100QUARTER31-MAR-09VN102|422100|Chi phí lãi và các khoản chi phí tương tự|VN|102||550434036628|QUARTER|17|MSB
2|2017-05-20T00:00:00|1|400|OTC|2009-03-31T00:00:00|MSB421900QUARTER31-MAR-09VN102|421900|Thu nhập lãi thuần|VN|102||300125062479|QUARTER|17|MSB
3|2017-05-20T00:00:00|1|500|OTC|2009-03-31T00:00:00|MSB421200QUARTER31-MAR-09VN102|421200|Thu nhập từ hoạt động dịch vụ|VN|102||15465181848|QUARTER|17|MSB
4|2017-05-20T00:00:00|1|600|OTC|2009-03-31T00:00:00|MSB422200QUARTER31-MAR-09VN102|422200|Chi phí hoạt động dịch vụ|VN|102||4249060732|QUARTER|17|MSB
5|2017-05-20T00:00:00|1|700|OTC|2009-03-31T00:00:00|MSB423200QUARTER31-MAR-09VN102|423200|Thu nhập thuần từ hoạt động dịch vụ|VN|102||11216121116|QUARTER|17|MSB
6|2017-05-20T00:00:00|1|1000|OTC|2009-03-31T00:00:00|MSB423300QUARTER31-MAR-09VN102|423300|Lợi nhuận thuần từ hoạt động kinh doanh ngoại hối|VN|102||3535806162|QUARTER|17|MSB
7|2017-05-20T00:00:00|1|1300|OTC|2009-03-31T00:00:00|MSB423400QUARTER31-MAR-09VN102|423400|Lợi nhuận thuần từ hoạt động kinh doanh chứng khoán|VN|102||0|QUARTER|17|MSB
8|2017-05-20T00:00:00|1|1400|OTC|2009-03-31T00:00:00|MSB423500QUARTER31-MAR-09VN102|423500|Lãi thuần từ chứng khoán đầu tư|VN|102||-31986305|QUARTER|17|MSB
9|2017-05-20T00:00:00|1|1401|OTC|2009-03-31T00:00:00|MSB421600QUARTER31-MAR-09VN102|421600|Thu nhập thuần từ hoạt động kinh doanh khác|VN|102||38048598115|QUARTER|17|MSB
10|2017-05-20T00:00:00|2|1402|OTC|2009-03-31T00:00:00|MSB421601QUARTER31-MAR-09VN102|421601|Thu nhập từ hoạt động khác|VN|102||38121003120|QUARTER|17|MSB
11|2017-05-20T00:00:00|2|1403|OTC|2009-03-31T00:00:00|MSB421602QUARTER31-MAR-09VN102|421602|Chi phí hoạt động khác|VN|102||72405005|QUARTER|17|MSB
12|2017-05-20T00:00:00|1|1500|OTC|2009-03-31T00:00:00|MSB421700QUARTER31-MAR-09VN102|421700|Thu nhập vốn góp mua cổ phần|VN|102||800000000|QUARTER|17|MSB
13|2017-05-20T00:00:00|1|1501|OTC|2009-03-31T00:00:00|MSB421701QUARTER31-MAR-09VN102|421701|Tổng thu nhập hoạt động|VN|102||353693601567|QUARTER|17|MSB
14|2017-05-20T00:00:00|1|2400|OTC|2009-03-31T00:00:00|MSB22200QUARTER31-MAR-09VN102|22200|Chi phí quản lý doanh nghiệp|VN|102||74358439128|QUARTER|17|MSB
15|2017-05-20T00:00:00|1|2500|OTC|2009-03-31T00:00:00|MSB88888QUARTER31-MAR-09VN102|88888|Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng|VN|102||279335162439|QUARTER|17|MSB
16|2017-05-20T00:00:00|1|2600|OTC|2009-03-31T00:00:00|MSB422900QUARTER31-MAR-09VN102|422900|Chi phí dự phòng rủi ro tín dụng|VN|102||45454131405|QUARTER|17|MSB
17|2017-05-20T00:00:00|1|2700|OTC|2009-03-31T00:00:00|MSB23800QUARTER31-MAR-09VN102|23800|Tổng lợi nhuận kế toán trước thuế|VN|102||233881031034|QUARTER|17|MSB
18|2017-05-20T00:00:00|1|2800|OTC|2009-03-31T00:00:00|MSB22070QUARTER31-MAR-09VN102|22070|Chi phí thuế TNDN|VN|102||21466484|QUARTER|17|MSB
19|2017-05-20T00:00:00|2|2900|OTC|2009-03-31T00:00:00|MSB22051QUARTER31-MAR-09VN102|22051|Chi phí thuế TNDN hiện hành|VN|102||21466484|QUARTER|17|MSB
20|2017-05-20T00:00:00|2|3000|OTC|2009-03-31T00:00:00|MSB22052QUARTER31-MAR-09VN102|22052|Chi phí thuế TNDN hoãn lại|VN|102||0|QUARTER|17|MSB
21|2017-05-20T00:00:00|1|3400|OTC|2009-03-31T00:00:00|MSB23500QUARTER31-MAR-09VN102|23500|Lợi ích của cổ đông thiểu số|VN|102||0|QUARTER|17|MSB
22|2017-05-20T00:00:00|1|3500|OTC|2009-03-31T00:00:00|MSB23000QUARTER31-MAR-09VN102|23000|Lợi nhuận sau thuế của Công ty mẹ|VN|102||233859564550|QUARTER|17|MSB
23|2017-05-20T00:00:00|1|3600|OTC|2009-03-31T00:00:00|MSB23001QUARTER31-MAR-09VN102|23001|Lãi cơ bản trên cổ phiếu|VN|102||0|QUARTER|17|MSB
